ytid,aspect_list,caption,is_genre_pop,is_genre_rock,is_genre_jazz,is_genre_classical,is_genre_hip-hop,is_genre_country,is_genre_electronic,is_genre_reggae,is_genre_blues,is_genre_folk,is_genre_r&b,is_genre_metal,is_genre_punk,is_genre_soul,is_genre_gospel,is_genre_latin,is_genre_reggaeton,is_genre_disco,is_genre_indie,is_genre_alternative,is_genre_house,is_genre_techno,is_genre_trance,is_genre_dubstep,is_genre_ambient,is_genre_new age,is_genre_bluegrass,is_genre_grunge,is_genre_emo,is_genre_post-rock,is_genre_post-punk,is_genre_shoegaze,is_genre_industrial,is_genre_experimental,is_genre_noise,is_genre_synthwave,is_genre_chillwave,is_genre_lo-fi,is_genre_acoustic,is_genre_instrumental,is_genre_soundtrack,is_genre_world,is_genre_funk,is_genre_swing,is_genre_bossa nova,is_genre_k-pop,is_genre_j-pop,is_genre_c-pop,is_genre_t-pop,is_genre_amapiano,is_genre_afrobeats,is_genre_dancehall,is_genre_trap,is_genre_grime,is_genre_drum and bass,is_genre_dub,is_genre_salsa,is_instrument_guitar,is_instrument_piano,is_instrument_drums,is_instrument_bass,is_instrument_strings,is_instrument_voice,is_instrument_keyboard,is_instrument_synth,is_instrument_violin,is_instrument_saxophone,is_instrument_choir,is_instrument_trumpet,is_instrument_flute,is_instrument_clarinet,is_instrument_trombone,is_instrument_cello,is_instrument_harp,is_instrument_accordion,is_instrument_synthesizer,is_instrument_turntables,is_instrument_theremin,is_instrument_ukulele,is_instrument_banjo,is_instrument_mandolin,is_instrument_marimba,is_instrument_percussion,is_instrument_harmonica,is_instrument_didgeridoo,is_instrument_bagpipes,is_instrument_sitar,is_instrument_tabla,is_instrument_hats,is_instrument_kick,is_instrument_snare,is_instrument_tom,is_instrument_djembe,is_instrument_bongos,is_instrument_conga,is_instrument_timbales,is_instrument_steel drum,is_instrument_kalimba,is_instrument_zither,is_instrument_ocarina,is_instrument_bassoon,is_instrument_oboe,is_instrument_horn,is_emotion_happy,is_emotion_sad,is_emotion_angry,is_emotion_relaxed,is_emotion_excited,is_emotion_nostalgic,is_emotion_romantic,is_emotion_melancholic,is_emotion_energetic,is_emotion_calm,is_emotion_mysterious,is_emotion_joyful,is_emotion_hopeful,is_emotion_intense,is_emotion_peaceful,is_emotion_reflective,is_emotion_playful,is_emotion_dramatic,is_emotion_eerie,is_emotion_triumphant,is_emotion_depressed,is_emotion_anxious,is_emotion_confident,is_emotion_powerful,is_emotion_moody,caption_without_genre
-XN0NtrnfMY,"['low quality', 'rock', 'instrumental', 'shimmering hi hats', 'punchy snare', 'groovy bass', 'acoustic rhythm guitar', 'electric guitar chord progression', 'energetic', 'addictive']","The low quality recording features a rock song instrumental that consists of shimmering hi hats, punchy snare, groovy bass guitar, acoustic rhythm guitar in the left channel and electric guitar chord progression in the right channel of the stereo image. It sounds energetic and addictive.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The low quality recording features a song that consists of shimmering hi hats, punchy snare, groovy bass guitar, rhythm guitar in the left channel and electric guitar chord progression in the right channel of the stereo image. It sounds energetic and addictive."
-XkbErI_7EU,"['slow jazz song', 'barbershop quartet', 'trumpets', 'double bass', 'vocal harmony', 'male voices', 'piano', 'slow tempo', 'romantic song']",This slow jazz song features male voices singing the main melody in harmony. This is accompanied by percussion playing a simple beat. The double bass plays the root notes of the chords. Trumpets play a fill in harmony in between lines. A piano plays an arpeggiated chord at the end of the first line. This song has a romantic mood. This song can be played in a classic romantic movie.,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This slow song features male voices singing the main melody in harmony. This is accompanied by percussion playing a simple beat. The double bass plays the root notes of the chords. Trumpets play a fill in harmony in between lines. A piano plays an arpeggiated chord at the end of the first line. This song has a romantic mood. This song can be played in a classic romantic movie.
-YATTKBtmRA,"['hip-hop', 'electronic', 'crisp synth', 'melodic pad', 'piano sample', 'strong bass', 'loud electronic drums', 'modern sounding', 'aggressive', 'energetic']",This is a hip-hop music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud electronic drum beat. The piece is energetic and modern sounding. It could be used in the soundtrack of a sci-fi movie where there is a lot of action going on.,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This is a music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud drum beat. The piece is energetic and modern sounding. It could be used in the of a sci-fi movie where there is a lot of action going on.
-_6RxZyi30Q,"['latin dance music', 'zumba', 'amateur recording', 'poor quality', 'female voice', 'shouting', 'male vocal', 'melodic singing', 'strong bass', 'loud electronic drums', 'energetic']",This is an amateur recording of a dance performance over a latin dance music piece in the style of zumba. There is a female dance instructor shouting directions to the dancers. There is a male vocalist singing melodically in the background piece. A strong bass and a loud electronic drum beat can be heard very distinctly. The atmosphere is energetic. The quality of the recording is quite poor.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This is an amateur recording of a dance performance over a dance music piece in the style of zumba. There is a female dance instructor shouting directions to the dancers. There is a male vocalist singing melodically in the background piece. A strong bass and a loud drum beat can be heard very distinctly. The atmosphere is energetic. The quality of the recording is quite poor.
-dVgUSrR8g4,"['intense', 'vigorous', 'loud electric guitar feedback', 'intense', 'psychedelic', 'trap', 'trance', 'hard rock', 'enthusiastic', 'energetic', 'spirited', 'hyper', 'fast tempo', 'goth rock', 'heavy  metal', 'amplified guitar', 'intense drumming', 'chattering sounds', 'scratching', 'screeching', 'vigorous keyboard']","This song is a vigorous metal instrumental. The tempo is fast with intense drumming,  fiery electric guitar riff, amplified guitar rhythms and energetic keyboard accompaniment. The music is energetic, aggressive, youthful, spirited, goth, intense,psychedelic and trance like. This instrumental is Hard Rock/Metal.",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"This song is a vigorous . The tempo is fast with intense drumming, fiery electric guitar riff, amplified guitar rhythms and energetic keyboard accompaniment. The music is energetic, aggressive, youthful, spirited, goth, intense,psychedelic and like. This is Hard /."
-f1DNyngKVY,"['sitar', 'no singer', 'instrumental', 'single instrument', 'medium-to-high range', 'transcendental', 'relaxing', 'calming', 'meditation']",This is an instrumental sitar music piece. The sitar is being played at a medium-to-high range. There is a calming and relaxing atmosphere to this piece. This piece can be used in the background of a meditation video. It could also be played during a meditation session at a course.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This is an sitar music piece. The sitar is being played at a medium-to-high range. There is a calming and relaxing atmosphere to this piece. This piece can be used in the background of a meditation video. It could also be played during a meditation session at a course.
-f6s6kQEHFY,"['slow pop', 'ethereal song', 'ambient sounds', 'no lyrics', 'female voice', 'autotune voice', 'piano song', 'synth sounds', 'slow tempo', 'bass', 'no percussion', 'haunting melody']",This slow ballad features a female voice singing the main melody. This is accompanied by a repetitive piano melody. The bass plays the root notes of the chords in staccato style in eighth note patterns. Synth horns play in the background at different pitches. The song has an ambient and ethereal feel. The mood of the song is haunting. This song can be played in a sad scene in a movie.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,This slow ballad features a female voice singing the main melody. This is accompanied by a repetitive piano melody. The bass plays the root notes of the chords in staccato style in eighth note patterns. Synth horns play in the background at different pitches. The song has an and ethereal feel. The mood of the song is haunting. This song can be played in a sad scene in a movie.
-fxh7jAJR8U,"['boy band', 'male singers', 'vocal harmony', 'retro pop hits', 'singing parts', 'medium tempo', 'keyboard accompaniment', 'steady drumming rhythm', 'steady bass line', 'tambourine percussions', 'love song', 'romantic', 'passionate', 'groovy music', 'inspiring', 'passionate', 'spirited', 'soothing', 'relaxing', 'comforting', 'bells percussions']","Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. The song is soothing and romantic. The song is a retro pop hit.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Male singers sing this vocal harmony. The tempo is medium with a steady drumming rhythm, various percussion tones, keyboard accompaniment, steady bass line and tambourine percussion. The song is soothing and romantic. The song is a retro hit."
-mA_bqD1tgU,"['low quality', 'folk', 'wooden percussions', 'groovy bass', 'breathy flute melody', 'groovy piano melody', 'sustained strings melody', 'shimmering shakers', 'passionate', 'happy', 'joyful']","The low quality recording features a folk song that consists of a wooden percussion, groovy bass, breathy flute melody, groovy piano melody, shimmering shakers and sustained strings melody. It sounds passionate, joyful and happy.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"The low quality recording features a song that consists of a wooden percussion, groovy bass, breathy flute melody, groovy piano melody, shimmering shakers and sustained strings melody. It sounds passionate, joyful and happy."
-nlkWWphiaM,"['low quality', 'live performance', 'fruity male vocal', 'accordion melody', 'acoustic rhythm guitar', 'shimmering bells', 'emotional', 'hopeful', 'mono', 'noisy']","The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, acoustic rhythm guitar chords and shimmering bells. It sounds emotional and hopeful. The recording is a bit noisy and in mono, as it was probably recorded with a phone.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"The low quality recording features a live performance that consists of fruity male vocal singing over accordion melody, rhythm guitar chords and shimmering bells. It sounds tional and hopeful. The recording is a bit noisy and in mono, as it was probably recorded with a phone."
