caption,aspect_list,tempo_tags,genre_tags,mood_tags,instrument_tags,tempo_tags_count,genre_tags_count,mood_tags_count,instrument_tags_count,aspect_list_count
"This is an instrumental alternative music piece. There are two electric guitars with heavy effects playing chill melodies. A distinct crackling effect can be heard. The rhythm consists of a medium tempo percussion beat. The atmosphere is trippy. This piece can be used in the soundtrack of a drama movie, especially during a flashback scene involving good memories.","medium tempo, chill, no singer, electric guitar, percussion",medium tempo,chill,,"no singer, electric guitar, percussion",1,1,1,3,5
This is a jazz music piece. There is a saxophone playing a jazzy solo for the melody. There is an upright bass playing in the background. The rhythmic background consists of a slow tempo acoustic drum beat that is played with brushes. The atmosphere is mellow. This piece could be playing in the background of a classy restaurant or a coffee shop.,"slow tempo, jazz, mellow, gentle, acoustic drums",slow tempo,jazz,"mellow, gentle",acoustic drums,1,1,2,1,5
"A male vocalist sings this famous Beatle’s song in Country style. The tempo is medium with an auto harp accompaniment, groovy bass line, keyboard harmony, female vocal backup and sound of clapping and cheering indicating that this is a live performance . The song is cheerful, melodious, engaging, energetic,youthful and upbeat.","fast tempo, groovy bass lines, country music, cheerful, keyboard accompaniment, male vocalist, clapping","fast tempo, groovy bass lines",country music,cheerful,"keyboard accompaniment, male vocalist, clapping",2,1,1,3,7
"A male vocalist sings this youthful Electro rock . The tempo is fast with an intense electric guitar feedback, hard hitting drumming, synthesiser arrangements and electronic sound articulation. The song is high-powered, punchy, intense, youthful,ambient, buoyant, passionate and psychedelic with a dance groove.","fast tempo, ambient, electronic music, psychedelic, intense, dark, male vocalist",fast tempo,"ambient, electronic music","psychedelic, intense, dark",male vocalist,1,2,3,1,7
"This is an exciting, epic cinematic orchestral piece. This kind of music would be used for a scene involving a chase or something thrilling. There are tubas, trombones, trumpets and french horns playing the same exciting motif.","cinematic, epic, exciting, trumpets",,cinematic,"epic, exciting",trumpets,1,1,2,1,4
This is a rock music piece. It starts with a clock. There is a female vocalist singing melodically in the Thai language. The overdriven electric guitar is strumming the chords of the main tune while the bass guitar is supporting it in the background. The acoustic drum is playing a simple but powerful beat. The general atmosphere is energetic. The piece can be used as a soundtrack in a coming-of-age drama taking place in Thailand.,"rock music, energetic, acoustic drums, bass guitar, electric guitar, female vocal",,rock music,energetic,"acoustic drums, bass guitar, electric guitar, female vocal",1,1,1,4,6
This is a hip-hop music piece. There is a male vocal rapping at the forefront while there are repetitions and ad-libs that can be heard in the background. An eerie sounding melodic pad is playing the melody. There is a strong bass. The rhythmic background is composed of a hip-hop electronic drum beat. The atmosphere is unnerving. This piece could be playing in a scene where criminal activities are occurring in a crime/noir movie taking place in a big city.,"rapping, eerie, male vocal, electronic drums",,rapping,eerie,"male vocal, electronic drums",1,1,1,2,4
A male vocalist sings this Christmas song. The tempo is medium with minimal instruments like keyboard harmony and steady drumming. The audio quality is inferior so the music is incoherent. This is a live performance with ambient sounds of people clapping and cheering. This is a contemporary Christmas Song.,"medium tempo, ambient sounds, keyboard harmony, male singer, clapping, steady drumming",medium tempo,ambient sounds,,"keyboard harmony, male singer, clapping, steady drumming",1,1,1,4,6
"The low quality recording features a hip hop song that consists of synth keys melody, punchy kick, punchy muffled snare, shimmering open hat and shakers and short toms roll. It sounds groovy and easygoing, like something you would listen to when riding a car.","groovy, hip hop, shimmering shakers, punchy kick",groovy,hip hop,,"shimmering shakers, punchy kick",1,1,1,2,4
"This song is a pleasant love song duet. The tempo is medium with acoustic guitar and ukulele accompaniment.the song is mellow, soft, emotional, romantic, nostalgic. This song is Country/Folk pop.","medium tempo, folk music, pop, mellow, sentimental, emotional, soft, romantic, acoustic guitar",medium tempo,"folk music, pop","mellow, sentimental, emotional, soft, romantic",acoustic guitar,1,2,5,1,9
This audio contains a string section playing a romantic ballad. Violin and viola are playing the lead melody while celli are playing a rhythmic melody in the background. This song may be playing live for a wedding.,"medium tempo, ballad, orchestral, romantic, violin",medium tempo,"ballad, orchestral",romantic,violin,1,2,1,1,5
"This song is an instrumental. The tempo is medium with an acoustic guitar playing a monotone. There is no melody or instrumentation . It sounds like a guitar being tuned. It is repetitive, and insistent like a chant.","medium tempo, trance, meditative, calming, acoustic guitar",medium tempo,trance,"meditative, calming",acoustic guitar,1,1,2,1,5
"Male vocalist sings this upbeat Hip-Hop song. The tempo is fast with minimal instrumentation of a lively infectious, punchy drumming and enthusiastic vocal backup and incessant, vigorous vocalisation. The song is buoyant, catchy, punchy, funky, youthful,groovy, engaging, vibrant and vivacious. This song is contemporary Hip-Hop/Rap.","upbeat, fast tempo, dance groove, groovy, rap, dance music, dance pop, funky, keyboard harmony, male singer","upbeat, fast tempo, dance groove, groovy","rap, dance music, dance pop",funky,"keyboard harmony, male singer",4,3,1,2,10
"A synthesizer is playing a rhythmic, simple bassline. A male vocal sample that seems to be processed and pitched down is being played with a delay. Then a riser noise comes in sounding like wind that is getting stronger. This song may be playing while playing at a play-station with your friends.","uptempo, house, bass",uptempo,house,,bass,1,1,1,1,3
"The low quality recording features a DJ that scratches his vinyl hip hop song. The song consists of punchy snare and kick hits, bouncy hi hats and boomy bass. It is noisy, uptempo, energetic and it sounds a bit sloppy.","uptempo, hip hop, energetic, punchy kick, punchy snare",uptempo,hip hop,energetic,"punchy kick, punchy snare",1,1,1,2,5
"A male vocalist sings this animated melody. The song is minimal instrumentation with a bright accordion harmony and organ accompaniment. It is perky, animated, bright, energetic, enthusiastic, and vibrant. This song is a classic German folk song.","medium tempo, folk song, passionate, emotional, male vocalist",medium tempo,folk song,"passionate, emotional",male vocalist,1,1,2,1,5
This is an educational pop music piece. There is a female vocalist singing out-of-tune. The strings and the acoustic guitar are playing a simple tune while the rhythmic background is provided by a basic acoustic drum beat. The aura of the piece is generic and monotonous. The quality of the recording is subpar. It might be useful in the class setting.,"pop, acoustic drums, acoustic guitar, strings, female vocal",,pop,,"acoustic drums, acoustic guitar, strings, female vocal",1,1,1,4,5
This folk song features a clarinet playing the main melody. A trumpet plays a similar melody in harmony. This is accompanied by a tuba playing the bass notes. An acoustic guitar plays chords for this song. There are no voices in this song. This is an instrumental song. There is no percussion in this song. This song can be played at an Oktoberfest party.,"slow tempo, folk song, guitar, no voices",slow tempo,folk song,,"guitar, no voices",1,1,1,2,4
"The low quality recording features a soul song sung by passionate female vocalists over mellow piano chords, smooth bass, shimmering cymbals and punchy kick and snare hits. There are some crowd chattering sounds. It sounds emotional, passionate and heartfelt.","soul, passionate, emotional, punchy kick, shimmering cymbals, passionate female vocal",,soul,"passionate, emotional","punchy kick, shimmering cymbals, passionate female vocal",1,1,2,3,6
"The low quality recording features a metal song that consists of a screaming female vocal singing over punchy kick and snare hits, energetic cymbals, groovy bass guitar, wide distorted electric guitars, strings melody and repetitive piano melody. At the very end of the loop, there is a short distorted static sound. It sounds energetic, aggressive and manic.","metal, energetic, aggressive, groovy bass, punchy kick, punchy snare",,metal,"energetic, aggressive","groovy bass, punchy kick, punchy snare",1,1,2,3,6
"The low quality recording features a DJ scratching the vinyl of a hip hop song that consists of punchy kick and snare, repetitive wooden percussive elements, shimmering hi hats and open hats and soft crash cymbals. It sounds manic, energetic and kind of muffled, since it was probably recorded with a poor quality microphone.","hip hop, energetic, punchy kick, punchy snare",,hip hop,energetic,"punchy kick, punchy snare",1,1,1,2,4
This electronic music features no voices. All the parts of this song are programmed. The main melody is played by a simulated plucked instrument. This is accompanied by electronic sounds in the background sounding like an alien spaceship. There are ambient sounds in the background filling the musicscape. The song has an ambient feel. This song can be played in a movie where there is travel to outer space.,"moderate tempo, ambient sounds, electronic music, no voices",moderate tempo,"ambient sounds, electronic music",,no voices,1,2,1,1,4
This song has some experimental sounds. The string instrument sounds processed and slightly oriental. The synth plucks sound as running through different effects that are changing the bit rate and some filters. These elements are panned to the right and left and right side of the speakers playing different melodies. An acoustic drum is holding the whole construct together while an e-bass is playing his own run along with the drums. An e-guitar is playing long single chords. This song may be playing in an adventurous indie-videogame.,"medium tempo, pop, happy, acoustic drums, e-guitar",medium tempo,pop,happy,"acoustic drums, e-guitar",1,1,1,2,5
"An acoustic guitar and a piano are playing the same chords as single notes with strings underlining the composition. A female voice is singing, sounding fragile and sad. This song may be playing during a sad movie scene.","slow to medium tempo, pop, strings, piano, acoustic guitar",slow to medium tempo,pop,,"strings, piano, acoustic guitar",1,1,1,3,5
"A male singer sings this cheerful children’s song.  The song is medium tempo with reggae inspired drumming rhythm, guitar accompaniment, groovy bass line and keyboard harmony. The song is exciting and cheerful. The song is a children’s dance song.","groovy bas slime, dance rhythm, movie soundtrack, positive, exciting, cheerful, male singer","groovy bas slime, dance rhythm",movie soundtrack,"positive, exciting, cheerful",male singer,2,1,3,1,7
"The low quality recording features a R&B song that consists of a passionate female vocal, alongside wide exhale sounds and wide repetitive female vocals, singing over claps, punchy kick, shimmering hi hats, synth lead melody and simple synth bass. It sounds energetic and exciting.","r&b, exciting, energetic, claps, punchy kick, passionate female vocal",,r&b,"exciting, energetic","claps, punchy kick, passionate female vocal",1,1,2,3,6
"This is the recording of a DJ performance. In the rhythmic background, the electronic drums are playing a simple yet groovy beat. The DJ is scratching the turntable rapidly over this track. The piece is danceable. It has a dirty mix. Parts of this piece can be used as turntable samples for a beat. It could also be used in the soundtrack of a show with a big city setting.","groovy, dance, electronic drums",groovy,dance,,electronic drums,1,1,1,1,3
A male voice is singing along to a fast paced reggae instrumental. The drums are playing a reggae-groove along with a harmonica on the offbeat. Two e-guitars are playing a single note melody. Both are following the bassline adding harmonies. A saxophone is adding a little melody after every end of a phrase. The male voice is singing in the mid-range and sounds doubled. Some of the instruments are panned to the left and right side of the speakers. This song may be playing at a local bar.,"uptempo, reggae, e-bass, acoustic guitar, acoustic drums, e-guitar, male voice singing",uptempo,reggae,,"e-bass, acoustic guitar, acoustic drums, e-guitar, male voice singing",1,1,1,5,7
"This is a chamber music piece. It is performed by a quintet of the harp, the flute, the violin, the viola and the cello. There is a constant rising and falling pattern, resembling the feeling of a wave. The piece has a mysterious atmosphere to it. This music would fit perfectly in the soundtrack of an adventure movie during scenes of a journey where the characters are crossing the sea.","movie music, mysterious, cello, orchestra, violin, flute",,movie music,mysterious,"cello, orchestra, violin, flute",1,1,1,4,6
This folk song features the main melody played on the clarinet. This is accompanied by percussion played by hand. The tambourine is playing on every count. The bass plays with a groovy feel. The bass plays notes continuously at every count. The mood of this song is upbeat and happy. There are no voices in this song. This song can be played at a celebration party.,"fast tempo, folk song, tambourine, no voices, no voice",fast tempo,folk song,,"tambourine, no voices, no voice",1,1,1,3,5
"This heavy metal song features a female voice rapping the main vocals. The voice is aggressive and high pitched. This is accompanied by distortion guitars playing aggressive riffs. The distortion guitars play using muted power chords lending a heavy tone to the rhythm section. The bass follows the same riffs as the guitars. The percussion plays an aggressive rock beat using double kicks in parts, following the guitar riffs. This song has a rebellious mood. This song can be played in a Transformers-style machine movie.","moderate tempo, rapping, heavy metal, female voice, bass",moderate tempo,rapping,heavy metal,"female voice, bass",1,1,1,2,5
"This is the live performance of a jazz music piece. There is a trumpet solo at the forefront. The background consists of the piano, the upright bass and a jazz acoustic drum beat. The atmosphere is restless. This piece could be playing in the background at a jazz bar.","jazz, piano, no singer",,jazz,,"piano, no singer",1,1,1,2,3
This is a live performance of a jazz ballad music piece. The accordion is playing a solo as the main melody. There is an acoustic guitar playing the chords of the piece. The bass line is being played by the upright bass. The atmosphere is gentle. This piece is the perfect music to be played in the background at a coffee shop.,"chill, gentle, acoustic guitar",,chill,gentle,acoustic guitar,1,1,1,1,3
This audio contains a violent and tense cinematic composition. Evolving synth pads are played in a higher key with an aggressive overdrive bass sound with reverb. Then you can hear a machine gun shooting. This song may be playing for an action video-game.,"slow tempo, cinematic, bass",slow tempo,cinematic,,bass,1,1,1,1,3
"The low quality recording features a folk song that consists of a wooden percussion, groovy bass, breathy flute melody, groovy piano melody, shimmering shakers and sustained strings melody. It sounds passionate, joyful and happy.","folk, passionate, happy, joyful, groovy bass, shimmering shakers",,folk,"passionate, happy, joyful","groovy bass, shimmering shakers",1,1,3,2,6
"This song contains background noises such as a goat sound, wind blowing and very low horns blowing one note. Then the music comes in with a string section playing a short stroke melody. This song may be playing in a war/adventure video-game.","uptempo, cinematic, strings",uptempo,cinematic,,strings,1,1,1,1,3
This audio contains someone playing a piece on cello ranging from the low register up into the higher register. This song may be playing during a live performance.,"classical, emotional, cello",,classical,emotional,cello,1,1,1,1,3
"A male singer sings this Latin melody with backup singers in vocal harmony. The song is medium tempo with a brass band accompaniment, latin percussion and guitar accompaniment. The song is exciting and spirited. The song is perfect for Latin dancing. The song has a poor audio quality.","groovy rhythm, latin dance music, passionate, exciting, energetic, piano accompaniment, male singer",groovy rhythm,latin dance music,"passionate, exciting, energetic","piano accompaniment, male singer",1,1,3,2,7
"A male vocalist sings this spirited song. The tempo is fast with a bright keyboard harmony, boomy bass drops, infectious drumming and atmospheric synthesiser and a vocal riff. The electronic arrangements and synthesised sounds give it a psychedelic, trippy, hypnotic vibe. It is perky, buoyant, thumping, youthful, vivacious with a dance groove. This song is an EDM/Synth Pop song.","upbeat, fast tempo, dance music, electronic music, psychedelic, keyboard harmony, male vocalist","upbeat, fast tempo","dance music, electronic music",psychedelic,"keyboard harmony, male vocalist",2,2,1,2,7
"A male vocalist sings this catchy pop song. The tempo is medium fast with funky drumming, spirited acoustic guitar accompaniment, rhythmic clapping, steady bass line and keyboard harmony. The song is melodic, perky, peppy, youthful, playful, enthusiastic and fun. This is Indie Pop/Indie Rock.","fast tempo, alternative rock, rock, pop, keyboard harmony, male vocalist, clapping",fast tempo,"alternative rock, rock, pop",,"keyboard harmony, male vocalist, clapping",1,3,1,3,7
This reggae song features male voices singing the main melody in harmony. The clip starts off with the sound of a chalk writing on a board. This is followed by a percussion roll. The voices start singing the main melody. This is accompanied by percussion playing a reggae beat. The bass plays a reggae style bassline. The keyboard plays staccato chords in a reggae rhythm. The mood of this song is happy. This song can be played in a birthday scene in a movie when a family is on a holiday on an island.,"moderate tempo, reggae, happy mood, keyboard, percussion, bass",moderate tempo,reggae,happy mood,"keyboard, percussion, bass",1,1,1,3,6
"A male vocalist sings this passionate song. The tempo is slow with emphatic vocals and an acoustic guitar accompaniment. The song is melodic, emotional,sentimental, passionate,pensive, reflective and deep. This song is Alternative Rock.","medium tempo, alternative rock, ambient sounds, rock, sentimental, passionate, emotional, romantic, male vocalist",medium tempo,"alternative rock, ambient sounds, rock","sentimental, passionate, emotional, romantic",male vocalist,1,3,4,1,9
"This music is an intense electronic instrumental . The tempo is slow with electric guitar,acoustic guitar and synthesiser arrangements. The music is grim, intense, boomy, serious, fervent and passionate.","slow tempo, electronic music, passionate, intense, electric guitar",slow tempo,electronic music,"passionate, intense",electric guitar,1,1,2,1,5
This is an ambient/electronica music piece. It is an instrumental piece. There is a granular synth playing a vague sounding melody while a warp effect enters and a piano starts playing gently. There is a nostalgic and melancholic feel to it. This piece could be playing in the soundtrack of a drama movie during a scene where the feeling of regret is emphasized.,"ambient, melancholic, nostalgic, piano, no singer",,ambient,"melancholic, nostalgic","piano, no singer",1,1,2,2,5
"The song is an instrumental. The tempo is medium fast tempo with deep bass hits, synth voice harmony, keyboard harmony, and strong drumming rhythm. The song is deep trance and very groovy. The song has poor audio quality.","medium fast tempo, electronic dance music, energetic, keyboard harmony",medium fast tempo,electronic dance music,energetic,keyboard harmony,1,1,1,1,4
The song is an instrumental. The tempo is medium with a slick drumming rhythm and a DJ creating cool melodies by scratching and manipulating spinning music discs. The song is energetic and has a dance groove. The song is electronic dance music with poor audio quality and is at home.,"medium tempo, groovy, dance music, electronic dance music, steady drumming rhythm","medium tempo, groovy","dance music, electronic dance music",,steady drumming rhythm,2,2,1,1,5
"The low quality recording features a traditional pop song that consists of a flat male vocal, alongside exciting background vocals, singing over claps, wooden percussive elements, groovy bass and acoustic guitar melody. It sounds energetic, addictive, fun and joyful - like something you would hear at more traditional parties.","pop, energetic, fun, joyful, groovy bass, clapping, flat male vocal",,pop,"energetic, fun, joyful","groovy bass, clapping, flat male vocal",1,1,3,3,7
an uprising low modulated sound comes in with a lot of airy noise before a digital drum rhythm is playing. This is an amateur recording. This sequence may be playing at home programming a sampler.,"electronic, digital drums",,electronic,,digital drums,1,1,1,1,2
"A female singer sings this vocal harmony with backup singers. The song is medium tempo with a steady drumming rhythm, tambourine percussion, groovy bass line and keyboard accompaniment. The song is trance-like and groovy. The song is a modern techno dance with an average audio quality. The song serves as a sound track for a car repairing video.","medium tempo, dance groove, electronic dance music, keyboard accompaniment, female singer, groovy bass line","medium tempo, dance groove",electronic dance music,,"keyboard accompaniment, female singer, groovy bass line",2,1,1,3,6
"A rock backing track is being played containing a e-bass, acoustic drums and a clean e-guitar playing a melody on top. In the foreground you can hear sounds that do not belong to the song. Chainsaws slashing things, monster sounds and female voices screaming like being in a fight. This is an amateur recording. This song may be playing in a violent videogame.","rock, acoustic drums, e-guitar, female voice, e-bass",,rock,,"acoustic drums, e-guitar, female voice, e-bass",1,1,1,4,5
"This song contains acoustic drums playing kind of a slow drum&bass rhythm along with a bass playing the rootnote of a e-guitar strumming along. Another e-guitar is strumming along, panned to the right side of the speakers. A male voice is singing in a higher key with delay in his voice. This song may be playing with headphones on a rainy colder day.","medium to uptempo, rock, melancholic, acoustic drums, male voice singing, e-bass",medium to uptempo,rock,melancholic,"acoustic drums, male voice singing, e-bass",1,1,1,3,6
"A male vocalist sings this intense Rap. The tempo is slow with boomy bass drumming and atmospheric synthesiser. The music is minimalist with emphatic vocals. The song is a passionate, youthful,insightful,persuasive and intense Synth Rap.","rhythmic patter, slow tempo, rap, passionate, emotional, intense, male singer","rhythmic patter, slow tempo",rap,"passionate, emotional, intense",male singer,2,1,3,1,7
This is a K-pop music piece being performed live by a girl group. There are female vocals singing melodically. There is a keyboard playing a simple and repeated theme. The rhythmic background consists of a danceable electronic drum beat. The atmosphere is easygoing. This piece could be playing in the background at a clothing store.,"upbeat, dance pop, keyboard, electronic drums",upbeat,dance pop,,"keyboard, electronic drums",1,1,1,2,4
"This song is a lively Indian instrumental. The tempo is fast with lively brass bands playing harmony, energetic drums ,Nagpada and dhol and other Indian percussion and synthesiser with digital arrangements. There is a dialogue of a man and woman superimposed over the music, with sighing and giggling in the background. The music is typical Indian Baarat music. It is happy, cheerful, vivacious, energetic, youthful, vigorous and upbeat.","electronic music, energetic, digital drums, trumpets, drums",,electronic music,energetic,"digital drums, trumpets, drums",1,1,1,3,5
This song contains digital drums playing a hiphop kinda feel along with a bassline. The most energy comes from the male voice singing with autotune and a lot of backing voices cheering and singing along: Then a male voice starts rapping. The backing voices are spread across the both sides of the speakers. This song may be playing outside chilling with your friends.,"medium tempo, pop, digital drums, male voice singing",medium tempo,pop,,"digital drums, male voice singing",1,1,1,2,4
The hip-hop music excerpt features what sounds to be a doubled boy voice rapping. A typical hip-hop drum beat drives the pulse of the music. A sampled string sound is playing arpeggios as accompaniment. Other synth sounds can be heard playing short repeating melodies. The atmosphere is slightly tense.,"rapping, drums",,rapping,,drums,1,1,1,1,2
"Live performance of a girl band group, featuring surf guitar and a go-go beat that transitions to modern pop production with loud bass and electronic drum breaks. Audio is low fidelity. Would be popular with teenage girls.","pop, electronic drums",,pop,,electronic drums,1,1,1,1,2
"The low quality recording features a live performance of a folk song that contains an accordion melody playing over acoustic rhythm guitar, groovy bass, punchy kick and snare hits, shimmering cymbals, saxophone and trumpet melody. It sounds passionate and easygoing, even though the recording is noisy and the stereo image is unbalanced, due to the fact that the sound is leaning towards the left channel.","folk, passionate, groovy bass, punchy kick, shimmering cymbals, punchy snare",,folk,passionate,"groovy bass, punchy kick, shimmering cymbals, punchy snare",1,1,1,4,6
"The low quality recording features a flat male talking, after which there are harmonizing clarinet melodies playing. It sounds soulful and the recording is in mono and noisy.","soulful, flat male vocal",,soulful,,flat male vocal,1,1,1,1,2
"The low quality recording features hip hop song that contains a low pitched male vocal singing over some camera shuttering sound effects, after which an echoing male vocal starts rapping over punchy kick and snare hits, low toms, electric guitar melody, reversed crash cymbal riser and shimmering hi hats. It sounds groovy.","groovy, hip hop, punchy kick, punchy snare",groovy,hip hop,,"punchy kick, punchy snare",1,1,1,2,4
"A female singer sings this spirited song. The tempo is fast with a lively piano accompaniment, punchy drumming, funky bass line, rhythmic acoustic guitar, and a droning synthesiser harmony. The music is loud, busy, chaotic and bustling and the vocals are subdued. This clip sounds like the song climax as the instrumentation is strong and powerful. The song is spirited, melodic,energetic, enthusiastic, youthful and engaging. This song is an Indie Pop song.","fast tempo, rhythmic acoustic guitar, indie, electronic music, pop, energetic, female singer","fast tempo, rhythmic acoustic guitar","indie, electronic music, pop",energetic,female singer,2,3,1,1,7
"The low quality recording features a traditional song that consists of passionate female vocal singing over wooden percussive elements, strings and flute melody. It sounds passionate, emotional and soulful and the recording is noisy and in mono.","soulful, passionate, emotional, passionate female vocal",,soulful,"passionate, emotional",passionate female vocal,1,1,2,1,4
"The low quality recording features a live performance of a pop song and it consists of a passionate boy vocal singing over wide synth melody, reversed crash riser, punchy kick and snare hits, shimmering hi hats, groovy synth bass and later sustained synth bass. There is some crowd noise and cheering sounds. It sounds addictive, energetic and exciting.","groovy synth bass, pop, exciting, energetic, punchy kick",groovy synth bass,pop,"exciting, energetic",punchy kick,1,1,2,1,5
"This song is an instrumental. The tempo is medium with an interesting electric guitar riff and subtle keyboard followed by energetic drumming, Funky bass lines and keyboard arrangement. The song gradually builds up and is catchy, youthful, upbeat, melodious, captivating and groovy. This song is Soft Rock.","upbeat, groovy, rock, intense, steady drumming, keyboard accompaniment","upbeat, groovy",rock,intense,"steady drumming, keyboard accompaniment",2,1,1,2,6
"The low quality recording features a live performance of a rock song that features wide electric guitar chords, distorted bass, reverberant toms, punchy kick hits and energetic crash cymbals. There are a few electric guitar slides. The recording is very noisy and it sounds energetic.","rock, energetic, punchy kick",,rock,energetic,punchy kick,1,1,1,1,3
"This audio contains someone playing a 8 string e-bass, fingerpicking and tapping a soothing soft melody in a higher register with some long bass notes underneath. This may be playing live.","medium to uptempo, pop, e-bass",medium to uptempo,pop,,e-bass,1,1,1,1,3
"This music is an electric guitar lead instrumental. The tempo is slow with no accompaniment and ambient sounds like a popping and swishing sound. The music is a rhythmic, controlled, pleasant, melancholic, sentimental and emotional Electric guitar solo.","slow tempo, ambient sounds, rock, metal, hard rock, heavy metal, soft rock, electric guitar",slow tempo,"ambient sounds, rock, metal","hard rock, heavy metal, soft rock",electric guitar,1,3,3,1,8
This is a Russian lullaby piece with classical music elements. The male vocalist is singing at a medium-to-high pitch in an opera-like manner. The strings and the piano are playing a gentle but crestfallen melody. The atmosphere is haunting. This piece could fit perfectly in the soundtrack of a post-apocalyptic war movie or a video game of similar theme. It could also work well in the soundtrack of a drama movie or an art movie that takes place in Russia or Eastern Europe. It might also be playing in the background at a high-tier Russian cuisine restaurant.,"classical, melancholic, strings, piano, male vocal",,classical,melancholic,"strings, piano, male vocal",1,1,1,3,5
An acoustic drum is playing a groove that is not strongly connected to reggae rhythm. A e-bass and piano-keys are bringing the typical reggae backbeat while another synth sound is playing short plucks as a melody. The male voice is singing in a reggae-fashion and in a higher key. In the background you can hear a big organ sound coming in and playing along with the melody. The elements are spread along the speakers. This song may be playing with speakers riding on your bike.,"medium tempo, reggae, acoustic drums, e-bass",medium tempo,reggae,,"acoustic drums, e-bass",1,1,1,2,4
"This song is an instrumental. The tempo is slow with a keyboard harmony, steady bass lines, congas and bongo rhythm and sound of an instrument like a harp and string instrument like a ukelele or Hawaiian guitar.The music is soft, mellow, pleasant and simple with the sound of people talking in the background. This is a Regional/Folk Pop instrumental.","ambient, mellow, soft, keyboard accompaniment",,ambient,"mellow, soft",keyboard accompaniment,1,1,2,1,4
"A male vocalist sings this enthusiastic Rock song. The tempo is fast with bright drumming, enthusiastic electric guitar harmony, keyboard accompaniment , groovy bass line. The song is youthful, enthusiastic, energetic, vital, vigorous and passionate rock.","fast tempo, dance groove, metal, rock, dance music, electronic music, hard rock, energetic, heavy metal, male singer, groovy bass line","fast tempo, dance groove","metal, rock, dance music, electronic music","hard rock, energetic, heavy metal","male singer, groovy bass line",2,4,3,2,11
