aspect_list,caption
"kick drum, oboe, piano, bass guitar, playful, emotional, relaxing, cheerful, world music, hip-hop, medium tempo","This song features a kick drum that plays a steady beat throughout the song. An oboe plays a playful melody that is emotional and relaxing. A piano plays chords that accompany the oboe melody. A bass guitar plays a simple, repetitive line that follows the kick drum. The song is in the world music genre and has a hip-hop influence. The tempo is medium."
"marimba, romantic, ballad, uptempo","This song is a romantic ballad that features the marimba as the main instrument. The marimba has a warm, rich, and resonant tone that is very soothing to the ears. The song is uptempo and has a lively tempo of around 120 beats per minute. The song has a catchy melody that is easy to follow and gets stuck in your head. The song has a positive and uplifting vibe that will make you feel good. The song is very romantic and would be perfect for a slow dance with a loved one. The song has a simple structure and is easy to follow. The song is very pleasant to listen to and will put you in a good mood."
"steel guitar, string section, enthusiastic, ballad, steady drumming rhythm","This song is a ballad that features a steel guitar as the main instrument. The steel guitar plays a melody that is both enthusiastic and emotional. The song has a steady drumming rhythm that provides a strong foundation for the rest of the instruments. A string section is also present in the song, adding a layer of depth and complexity to the sound. The string section plays a supporting role, providing a rich backdrop for the steel guitar to shine. The song is a beautiful and emotional ballad that showcases the unique sound of the steel guitar."
"keyboard, sentimental, emotional, playful, calming, bollywood music, groovy rhythm","This song is a beautiful and emotional piece of music that features a keyboard as the main instrument. The song has a sentimental and emotional tone, with a playful and groovy rhythm that makes it calming and relaxing to listen to. The keyboard plays a melody that is both emotional and playful, with a groovy rhythm that makes the song even more enjoyable. The song is reminiscent of Bollywood music, with its emotional and sentimental tone. Overall, this song is a beautiful and emotional piece of music that is sure to touch your heart."
"harp, bass drum, acoustic piano, violin, soothing, indie rock, reggae, medium tempo, moderate tempo","This song is a soothing indie rock track with a reggae influence. It features a harp, acoustic piano, bass drum, and violin. The song has a medium to moderate tempo. The harp plays a soothing melody that is the main focus of the song. The acoustic piano plays chords that accompany the harp melody. The bass drum plays a simple reggae influenced beat. The violin plays a counter melody that adds a layer of complexity to the song. The song is very soothing and would be great to listen to while relaxing."
"marimba, choir, electric guitar, accordion, snare, double bass, strings, inspirational, intense, country, industrial, surf rock, groovy rhythm","This song is a complex and intense musical piece that combines elements of country, industrial, surf rock, and inspirational music. The song begins with a groovy rhythm played on the marimba and the snare, accompanied by the deep and resonant sound of the double bass. The rhythm is fast-paced and intense, setting the tone for the rest of the song. As the song progresses, the choir joins in, singing a powerful and inspirational melody that adds a layer of depth and emotion to the song. The electric guitar plays a solo, its sharp and metallic sound contrasting with the mellow and warm sound of the marimba. The accordion adds a touch of country music to the song, its sound rich and full of character. The strings section plays a fast-paced and intense melody that adds a layer of complexity to the song. The song is intense and complex, with a fast-paced rhythm and a powerful and inspirational melody. The combination of the country, industrial, surf rock, and inspirational music creates a unique and memorable song that is sure to leave a lasting impression on the listener."
"strings, passionate singing, lo-fi, r&b, trance, pop, funk, fast tempo","This song is a fast-paced, passionate R&B track with a lo-fi, trance-like quality. The song features a full string section that plays a fast, funky melody throughout the song. The singer sings with a lot of emotion and power, using a lot of vocal runs and melismas. The song has a lot of energy and is very danceable. The tempo of the song is fast and the rhythm is very steady. The song has a lot of electronic elements and the production is very lo-fi. The song has a lot of reverb and delay on the vocals and the strings. The song has a very dreamy quality to it. The song is a fusion of R&B, trance, pop, and funk."
"piano, emotional, indie rock, slow tempo","This song is a beautiful and emotional indie rock piece that features a piano as the main instrument. The tempo of the song is slow, allowing the listener to fully appreciate the intricate details of the piano playing. The song has a melancholic feel to it, with the piano playing a series of emotional and poignant chords. The melody is simple yet effective, and it is played with a lot of feeling and emotion. The song has a very introspective and reflective quality to it, and it is the perfect piece to listen to when you want to reflect on your emotions. The piano playing is the main focus of the song, and it is played with a lot of skill and finesse. The song is a great example of the emotional power of music, and it is sure to touch the hearts of all who listen to it."
"congas, bass guitar, emotional, electronic dance music, funk, world music, 4 on the floor kick pattern",This song is a fusion of Electronic Dance Music and World Music. The tempo is fast and the rhythm is steady with a 4 on the floor kick pattern. The song has a funky bass guitar line that plays a catchy riff throughout the song. The congas are played with a lot of emotion and add a lot of depth to the song. The song has a lot of electronic elements like synthesizers and drum machines. The synthesizers play a lot of arpeggiated chords and the drum machines play a lot of percussive sounds. The song has a lot of energy and is very danceable. The congas and the bass guitar add a lot of funk to the song. The song is very emotional and the congas add a lot of soul to the song. The song is a fusion of electronic dance music and world music and it is a very unique and interesting song.
"didgeridoo, passionate, rock, folk song, carnatic music, trap, dance music, medium tempo","This song is a fusion of rock, folk, carnatic music, trap, and dance music. The main instrument used in this song is the didgeridoo. The song has a medium tempo. The song starts with the sound of the didgeridoo playing a passionate melody. The didgeridoo is accompanied by a rock drum beat. The drum beat is steady and has a dance music feel to it. The song then introduces a carnatic music melody. The carnatic melody is played on a synthesizer. The carnatic melody is played in a passionate manner. The song then introduces a trap beat. The trap beat is played on a drum machine. The trap beat is played in a passionate manner. The song then combines the didgeridoo melody, the rock drum beat, the carnatic melody, and the trap beat. The song then fades out with the didgeridoo melody playing."
"dj mixer, trumpet, vibrant, trap, uptempo","This song is a vibrant and uptempo DJ mixer track that features a trumpet as the main instrument. The song has a fast tempo and a strong beat that is characteristic of trap music. The trumpet plays a lively and energetic melody that is the main focus of the song. The song has a bright and energetic atmosphere that is sure to get any crowd moving. The DJ mixer adds a variety of sound effects and transitions that keep the song interesting and engaging. Overall, this song is a fun and energetic track that is perfect for any party or dance event."
"keyboard, emotional, pop, fast tempo","This song is a pop track that features a keyboard as the main instrument. The tempo of the song is fast, with a lively and energetic feel. The keyboard plays a catchy and memorable melody that is the main focus of the song. The song has an emotional tone, with the keyboard playing a melody that conveys a sense of longing or sadness. The song may be about a lost love or a longing for something that is out of reach. The fast tempo of the song gives it a sense of urgency, as if the singer is trying to hold on to something that is slipping away. The song may also have a danceable beat, with the keyboard melody serving as the main hook that drives the song forward. Overall, this song is a catchy and emotional pop track that features a memorable keyboard melody and a fast tempo."
"bass guitar, banjo, suspenseful, happy, edm, slow tempo","This song features a bass guitar that plays a simple, repetitive melody in the lower register of the instrument. The bass guitar is the main instrument in this song and it plays a simple, repetitive melody that is the foundation of the song. The song also features a banjo that plays a counter melody to the bass guitar. The banjo is tuned to an open chord and it is plucked with a plectrum. The banjo is played in a fast, syncopated manner that creates a happy and uplifting atmosphere. The song has a slow tempo of around 60 beats per minute. The song has a suspenseful atmosphere due to the use of dissonant chords and the use of pauses in the music. The song has a build up towards the end where the music gets louder and more complex before fading out."
"dj mixer, cheerful, heartfelt, world music, folk, fast tempo","This song is a cheerful and heartfelt DJ mixer that incorporates elements of world music and folk. The tempo of the song is fast, with a lively beat that is sure to get your feet tapping. The song features a variety of traditional instruments from around the world, including stringed instruments, percussion, and wind instruments. The DJ mixes these instruments together to create a unique and upbeat sound. The song has a positive and uplifting feel, and is sure to put a smile on your face."
"congas, dreamy, hopeful, energetic, ambient, groovy rhythm, moderate tempo, 4 on the floor kick pattern","This song features a dreamy and hopeful atmosphere, with a moderate tempo of around 120 beats per minute. The rhythm is groovy and energetic, driven by a 4 on the floor kick pattern that provides a solid foundation for the rest of the instruments. The congas add a layer of complexity and interest to the rhythm, playing a variety of patterns that complement the kick and fill in the gaps between the beats. The song also features ambient elements, such as reverb-drenched synth pads and delayed guitar riffs, that add a sense of depth and space to the sound. Overall, the song is a hopeful and energetic dance track that is sure to get your feet moving."
"piano, bass guitar, sitar, harmonica, bells, drums, romantic, metal, jazz, slow to medium tempo","This song is a complex fusion of romantic jazz, metal, and world music. It begins with a slow tempo piano melody that is rich in harmony and has a jazz feel to it. The piano is accompanied by a bass guitar that plays a simple, repetitive line that serves as the foundation of the song. A sitar is introduced, playing a melody that is reminiscent of traditional Indian music. The sitar adds a world music element to the song, making it sound exotic and mysterious. A harmonica is also introduced, playing a melody that is both romantic and melancholic. The harmonica adds a bluesy feel to the song, making it sound more emotional. Bells are used as percussion, adding a festive and celebratory feel to the song. The drums are played with brushes, giving the song a soft and romantic feel. The tempo of the song is slow to medium, allowing the listener to fully appreciate the complexities of the song. The song is a fusion of different genres, but it is done in a way that is cohesive and well-executed. The song is a complex and emotional journey that takes the listener on a journey through different genres and cultures."
"tambourine, calming, serene, romantic, energetic drums, ominous, edm, bluegrass, r&b, raga, fast paced, uptempo","This song is a complex fusion of various genres including EDM, Bluegrass, R&B, Raga, and Calming music. The song starts off with a serene and calming melody played on a sitar, accompanied by a soft and steady beat of the tambourine. The song then transitions into a fast paced and uptempo beat with energetic drums and a steady bass line. The song has a romantic and serene feel to it, with the sitar playing a soothing melody. The song then transitions into an ominous and darker tone with the addition of a deep and heavy bass line and a fast paced beat. The song then transitions back into the serene and calming melody of the sitar. The song ends with the same serene and calming melody of the sitar and the steady beat of the tambourine."
"tabla, acoustic piano, synth, kick drum, string section, emotional, enthusiastic, pop, country, groovy rhythm, medium fast tempo","This song is a fusion of pop, country, and world music. It features a groovy rhythm set by the tabla and the kick drum. The tabla plays a complex pattern that is both enthusiastic and emotional. The kick drum plays a simple pattern that outlines the song's medium fast tempo. The acoustic piano plays a simple chord progression that supports the melody. The melody is played by a synth that sounds like a flute. The flute synth plays a catchy melody that is both emotional and enthusiastic. The song also features a string section that plays a countermelody. The string section plays a countermelody that is emotional and enthusiastic. The song is a fusion of pop, country, and world music. It is emotional and enthusiastic."
"horn, synth bass, electric piano, bass guitar, ukulele, passionate, funk, uptempo","This song is a funk-inspired track that features a variety of instruments including a horn section, synth bass, electric piano, bass guitar, and ukulele. The song is uptempo and has a passionate feel to it. The horn section plays a prominent role in the song, with a catchy and energetic melody that drives the song forward. The synth bass provides a funky and solid foundation for the song, while the electric piano adds a smooth and soulful touch. The bass guitar plays a supportive role, filling in the gaps and adding depth to the song. The ukulele is used sparingly but effectively, adding a unique and playful element to the song. Overall, this song is a fun and energetic track that is sure to get your feet moving."
"keyboard, oboe, bass guitar, horn, passionate, new age, world music, fast tempo","This song is in the key of C major and has a fast tempo of around 140 beats per minute. The main instruments used in this song are the keyboard, oboe, bass guitar, and horn. The keyboard plays a fast-paced, rhythmic melody that serves as the backbone of the song. The oboe plays a passionate, soaring melody that adds a sense of emotional depth to the song. The bass guitar provides a solid foundation for the song with its steady, driving rhythm. The horn adds a touch of world music to the song with its unique, exotic sound. Overall, this song is a lively and passionate new age piece that combines elements of world music to create a unique and captivating sound."
"acoustic piano, trumpets, energetic drums, powerful, intense, passionate, emphatic, nostalgic, ominous, enthusiastic, happy, electronic dance music, fast tempo","This song is a high-energy, passionate performance that combines the sounds of an acoustic piano, trumpets, and energetic drums. The piano takes the lead, playing fast, intricate passages that are both powerful and intense. The trumpets add a layer of intensity and urgency to the song, playing emphatic, enthusiastic notes that soar above the rest of the instruments. The drums are fast-paced and energetic, driving the song forward with a sense of urgency and excitement. The song has a nostalgic, ominous quality to it, as if it is recalling a past event or emotion. Despite this, the song is ultimately happy and uplifting, with a fast tempo that will get your feet tapping and your heart racing. This is a song that is sure to get you moving and leave you feeling energized and uplifted."
"drum machine, serene, ethereal, soulful, trance, metal, slow song","This song is a slow tempo, serene and ethereal trance track that features a soulful male vocalist singing in a low register. The song is built around a drum machine that plays a simple, slow and steady beat. The percussion is sparse and minimal, with a few cymbal crashes and snare hits that punctuate the song. The song features a few synth sounds that add to the ethereal atmosphere of the song. The song has a soulful and emotional vibe. The song is a metal track but it is not aggressive or heavy. The song is a slow tempo track that is meant to be listened to in a relaxed state of mind. The song is a trance track but it is not a dance track. The song is a slow tempo, serene and ethereal trance track that is meant to be listened to in a relaxed state of mind."
"drums, hi-hat, cheerful, charming, passionate, nostalgic, soulful, spooky, inspirational, dance music, ballad, medium to uptempo, steady beat, fast tempo",This song is a cheerful and charming ballad that is medium to uptempo. It has a steady beat and fast tempo. The song features a soulful and spooky vocal performance that is passionate and inspirational. The song has a nostalgic feel to it. The instrumentation of the song includes a steady drum beat and a hi-hat. The song is a dance music song.
"marimba, tambourine, flute, energetic, intense, ethereal, passionate, excited, energetic drums, inspirational, soul, r&b, dubstep, disco, folk, fusion music, various tempos","This song is a fusion of marimba, tambourine, flute, energetic and intense ethereal, passionate, excited, energetic drums, inspirational, soul, R&B, dubstep, disco, folk and various tempos. The song starts off with a marimba playing a fast tempo rhythmic melody accompanied by a tambourine playing a fast tempo rhythm. The flute comes in playing a passionate and exciting melody. The tempo then slows down and the marimba plays a slower tempo rhythmic melody. The flute plays a soulful and inspirational melody. The tempo then speeds up and the marimba plays a fast tempo rhythmic melody accompanied by a tambourine playing a fast tempo rhythm. The flute plays a passionate and exciting melody. The drums come in playing an intense and energetic beat. The tempo then slows down and the marimba plays a slower tempo rhythmic melody accompanied by a tambourine playing a slower tempo rhythm. The flute plays a soulful and inspirational melody. The song ends with the marimba, tambourine and flute playing together."
"trumpets, vibraphone, drums, piano, clarinet, acoustic piano, choir, melancholic, cool, edm, folk song, dubstep, dance rhythm","This song is a melancholic folk song that features a variety of instruments including trumpets, vibraphone, drums, piano, and clarinet. The song starts off with a solo trumpet playing a sad melody. The trumpet is then joined by a vibraphone which plays a counter melody. The drums come in next playing a cool dance rhythm. The piano and clarinet also join in playing chords and counter melodies respectively. The song then builds up to a drop where the choir comes in singing the main melody. The song then transitions into a dubstep section where the drums and bass become more prominent and the song takes on a more upbeat and energetic feel. The song then transitions back into the original folk section. The song ends with the trumpet playing the final melody."
"hand claps, romantic, soundtrack, fast beat","This song is a fast-paced soundtrack that features hand claps as a prominent percussion element. The song has a romantic theme and the fast beat creates a sense of excitement and urgency. The hand claps add a human element to the song and create a sense of community and togetherness. The song may be used in a movie scene where the main characters are in a race against time to be together or to achieve a common goal. The song is energetic and passionate, reflecting the emotions of the characters in the scene."
"acoustic guitar, dreamy, passionate, bollywood music, ambient, folk, alternative rock, metal, fast tempo","This song is a fusion of Bollywood music, folk, alternative rock, and metal. It begins with the sound of an acoustic guitar playing a fast tempo, dreamy melody. The guitar is strummed with a passionate intensity that is reflected in the singer's voice. The vocalist sings in a language that is likely Hindi, with a strong, clear voice. The song has a Bollywood feel to it, with its fast tempo and passionate singing. However, the song also has elements of folk music, with its use of the acoustic guitar and its dreamy, ambient sound. The song then transitions into a heavier sound, with electric guitars and drums being added to the mix. The song becomes a fusion of alternative rock and metal, with its heavy guitar riffs and fast tempo. The song ends with the same dreamy, ambient sound of the acoustic guitar that it began with."
"cymbals, chill, ambient, carnatic music, edm, medium tempo","This song is a fusion of Carnatic music and EDM. It begins with a soft, ambient soundscape created by a combination of synth pads and cymbals. The cymbals are played in a way that they create a shimmering effect, adding to the chill atmosphere of the song. The Carnatic influence is introduced through the use of a veena, which plays a melody that is both complex and soothing. The song has a medium tempo, with the veena and the synth pads playing in a call and response manner. The cymbals continue to shimmer in the background, adding a layer of complexity to the song. The song is a perfect blend of the traditional and the modern, creating a sound that is both unique and captivating."
"acoustic guitar, electric guitar, emotional, soothing, soul, slow tempo",This song features a slow tempo of 60 beats per minute. The main instrumentation of the song is an acoustic guitar that plays a soothing and emotional chord progression. The acoustic guitar is accompanied by an electric guitar that plays a soulful melody. The electric guitar is played with a clean tone and has a warm and rich sound. The song has a peaceful and soothing atmosphere. The melody of the song is emotional and heartfelt. The song has a calming effect on the listener. The song is a ballad and has a melancholic tone. The song is a beautiful and emotional piece of music that is sure to touch the listener's soul.
"keyboard, organ, timpani, meditative, vibrant, jazz, mid tempo","This song is in the key of C minor and is written in a 4/4 time signature. The main instrumentation consists of a keyboard and an organ, both of which play a meditative melody that is vibrant and full of life. The keyboard plays a series of chords that are reminiscent of jazz music, while the organ plays a countermelody that adds depth and complexity to the song. The tempo of the song is mid-tempo, creating a sense of calm and serenity. The song also features timpani, which adds a sense of grandeur and importance to the song. The timpani plays a series of rolls and fills that add a sense of drama to the song. Overall, this song is a meditative and vibrant jazz piece that is full of life and complexity."
"trombone, sentimental, funk, medium tempo, fast tempo, slow tempo","This song features a trombone as the main instrument. The song has a sentimental mood. It starts off with a slow tempo, but then transitions into a medium tempo funk groove. The trombone plays a soulful melody over the funky groove. The song then transitions back into the slow tempo section, where the trombone plays a more introspective and sentimental melody. The song then ends with the trombone playing a long, sustained note."
"tambourine, hand claps, suspenseful, sad, happy, classical, fast tempo",This song features a fast tempo with a classical music style. The main instruments used are a tambourine and hand claps. The song has a sad and happy mood. The tempo is fast and the song has a suspenseful feel to it. The tambourine and hand claps are played in a fast rhythmic pattern. The song has a sad melody but the fast tempo and hand claps give it a happy feel. The song is a mix of sadness and happiness.
"bass guitar, percussion, calming, r&b, uptempo","This song is in the R&B genre and features a bass guitar and percussion as the main instruments. The tempo of the song is upbeat and energetic. The bass guitar plays a steady, rhythmic line that serves as the foundation of the song. The percussion is crisp and clear, with a variety of drum sounds being used to create a full and rich sound. The song has a calming effect, despite its upbeat tempo. The bass guitar and percussion work together to create a soothing and relaxing atmosphere. The song is well-produced and the mix is well-balanced, with each instrument being able to be heard clearly. The song has a positive and uplifting feel, and is sure to put a smile on the listener's face."
"bass guitar, hand claps, theremin, guitar, saxophone, romantic, powerful, calming, blues, edm, electronic dance music, ballad, gospel, steady drumming rhythm","This song is a powerful and calming ballad that combines elements of blues, gospel, and electronic dance music. The main instrumentation consists of a steady drumming rhythm, a bass guitar that plays a simple yet powerful line, and a guitar that plays bluesy licks and chords. A saxophone plays a romantic melody that is both powerful and calming. Hand claps are used to add a gospel feel to the song. The song also features a theremin that plays a high pitched melody that adds a mysterious and romantic feel to the song. The song is a powerful and calming ballad that combines elements of blues, gospel, and electronic dance music."
"mandolin, ukulele, passionate, techno, gospel, blues, slow tempo, fast tempo","This song is a unique fusion of mandolin, ukulele, techno, gospel, and blues. The song begins with a slow tempo of a mandolin and ukulele playing a passionate melody. The tempo then picks up and transitions into a fast tempo techno beat. The gospel choir comes in singing a passionate melody. The ukulele and mandolin continue to play in the background. The song then transitions back into the slow tempo of the ukulele and mandolin playing a passionate melody. The song ends with the gospel choir singing a passionate melody."
"snare, congas, brass section, emphatic, electronic dance music, fast tempo","This song is an upbeat electronic dance music track with a fast tempo of around 120 beats per minute. The main percussion instruments are a snare drum and congas. The snare drum plays a steady, emphatic beat throughout the song, while the congas add a Latin-inspired rhythm. The brass section adds a layer of energy and excitement to the song, playing fast, syncopated lines that weave in and out of the percussion. The song has a strong dance groove and is sure to get people moving on the dance floor."
