aspect_list,original_aspect_list,temperature,generated_tempo_tags,generated_genre_tags,generated_mood_tags,generated_instrument_tags,id
"['drums', 'energetic', 'medium tempo', 'percussion', 'rock', 'trumpets']","['drums', 'bass', 'rock', 'emotional', 'indie']",0.5,['medium tempo'],[],['energetic'],"['trumpets', 'percussion']",20d8508edf90a81cc136730ba8d10038
"['calming', 'flat male vocal', 'groovy', 'male vocal', 'passionate female vocal', 'pop rock']",[],2.0,['groovy'],['pop rock'],['calming'],"['flat male vocal', 'male vocal', 'passionate female vocal']",84656a002afa4d97dbd937de01a4232b
"['classical', 'joyful', 'no voices', 'slow tempo']","['ambient', 'energetic', 'piano']",1.0,['slow tempo'],['classical'],['joyful'],['no voices'],061014c7aa9aee16c77952aa3a8bc05d
"['ambient', 'calming', 'classical', 'groovy bass line', 'male vocalist', 'medium tempo', 'slow tempo']","['happy', 'pop', 'guitar']",1.5,"['slow tempo', 'medium tempo']","['classical', 'ambient']",['calming'],"['male vocalist', 'groovy bass line']",1a73c5e69aaeb9c3920b16dd4752c2fd
"['ambient', 'dance groove', 'fun', 'guitar', 'intense', 'moderate tempo', 'slow tempo', 'upbeat']","['guitar', 'electronic', 'emotional', 'ambient', 'piano']",0.8,"['dance groove', 'moderate tempo', 'slow tempo', 'upbeat']",[],"['intense', 'fun']",[],44d2cabf5559f48c1c3307f4d9ee266e
"['dramatic', 'electronic', 'fast tempo', 'violin']","['bass', 'electronic', 'funk', 'jazz', 'violin']",1.5,['fast tempo'],[],['dramatic'],[],e8ad430cd3a2896ebfba46bd167cdaa0
"['fast tempo', 'folk', 'groovy bass', 'happy']","['happy', 'energetic', 'indie', 'guitar']",1.0,['fast tempo'],['folk'],[],['groovy bass'],09e7c53f81a62720e17ff85151573cc5
"['chaotic', 'dance music', 'drums', 'electronic music', 'fast tempo', 'happy mood', 'no voice', 'passionate']","['drums', 'bass', 'emotional', 'jazz', 'piano']",0.8,['fast tempo'],"['electronic music', 'dance music']","['chaotic', 'happy mood', 'passionate']",['no voice'],fa0c66ff496b7d93a7df92e720713c79
"['calm', 'classical', 'groovy bass line', 'medium tempo', 'mysterious', 'passionate']","['emotional', 'piano', 'classical']",0.8,['medium tempo'],['classical'],"['calm', 'mysterious', 'passionate']",['groovy bass line'],1ac3ce274e9afba12278b30a5c87d329
"['clapping', 'classical', 'epic', 'fast tempo', 'punchy kick', 'suspenseful']","['jazz', 'funk', 'piano']",2.0,['fast tempo'],['classical'],"['suspenseful', 'epic']","['clapping', 'punchy kick']",a88508f71adeb55c8d36c42cf0b5aa58
"['bass', 'emotional', 'female singer', 'groovy', 'indie', 'medium tempo', 'slow tempo']","['energetic', 'drums', 'bass', 'rock', 'emotional', 'indie']",1.5,"['medium tempo', 'slow tempo', 'groovy']",[],[],['female singer'],dbca1973aa50b2ccfbb371145837d08b
"['electronic drums', 'emotional', 'flat male vocal', 'groovy', 'groovy bass', 'rock']","['ambient', 'emotional', 'piano']",0.8,['groovy'],['rock'],['emotional'],"['electronic drums', 'groovy bass', 'flat male vocal']",589a4a853be74f221b80e4e126d1fc06
"['bass', 'dance music', 'fast tempo', 'flute', 'intense', 'no voices', 'passionate']","['drums', 'happy', 'bass', 'rock']",0.5,['fast tempo'],['dance music'],"['intense', 'passionate']","['flute', 'no voices']",bd942f3a384fe9a4b0c195492d31d7a0
"['ambient noises', 'bass guitar', 'drums', 'female voice', 'funky', 'medium to uptempo']","['drums', 'pop', 'funk', 'guitar']",1.0,['medium to uptempo'],['ambient noises'],['funky'],"['bass guitar', 'female voice']",446f24c6bba67f4db6bdfe109f87178c
"['aggressive', 'energetic', 'groovy', 'male vocal', 'pop', 'punchy kick', 'punchy snare']",[],2.0,['groovy'],['pop'],"['energetic', 'aggressive']","['punchy kick', 'punchy snare', 'male vocal']",f76aa7e6d5eb6e638fac7e1fbe6d8edb
"['epic', 'groovy', 'punchy kick', 'rock', 'soulful']",[],2.0,['groovy'],"['rock', 'soulful']",['epic'],['punchy kick'],ee5465da1c69fc9dec587ec9f5c2ccef
"['dance', 'e-bass', 'electronic drums', 'funky', 'groovy', 'male vocal']","['ambient', 'energetic', 'strings']",2.0,['groovy'],['dance'],['funky'],"['electronic drums', 'male vocal', 'e-bass']",ed26351dbc4f5ff5c1a031348feb6ba9
"['bass guitar', 'classical music', 'fast tempo', 'movie soundtrack', 'orchestra', 'weird']","['ambient', 'happy', 'guitar']",2.0,['fast tempo'],"['classical music', 'movie soundtrack']",['weird'],"['bass guitar', 'orchestra']",d63b1fcea3bd9f9f685aa9e6126ca0a9
"['cinematic', 'flute', 'medium tempo', 'mellow', 'soothing', 'strings', 'uptempo']","['strings', 'happy', 'orchestral']",1.0,"['uptempo', 'medium tempo']",['cinematic'],"['mellow', 'soothing']","['strings', 'flute']",2bc2b9c8605d399c5b72e268992fb0eb
"['acoustic drums', 'acoustic guitar', 'medium tempo', 'passionate male vocal', 'soft', 'soulful', 'strings']",[],2.0,['medium tempo'],['soulful'],['soft'],"['acoustic guitar', 'passionate male vocal', 'strings', 'acoustic drums']",76a4943ec2a20448b6a53704454e9274
"['acoustic guitar', 'cinematic', 'medium tempo', 'piano', 'positive', 'rock', 'uptempo']","['drums', 'bass', 'electronic', 'funk', 'rock', 'pop', 'piano']",1.5,"['medium tempo', 'uptempo']",['cinematic'],['positive'],['acoustic guitar'],011d87ec723e4caee1fe8cead7be1df1
"['drums', 'exciting', 'groovy', 'medium to uptempo', 'rock', 'upbeat']","['drums', 'bass', 'guitar', 'rock', 'emotional', 'pop', 'indie', 'folk']",0.5,"['upbeat', 'medium to uptempo', 'groovy']",[],['exciting'],[],b3d37577100263f647c467afe11d65f3
"['epic', 'medium tempo', 'movie music', 'piano']","['happy', 'jazz', 'guitar']",2.0,['medium tempo'],['movie music'],['epic'],['piano'],5fcde92b677d2045c61c8045819d4d18
"['bass', 'electronic drums', 'fast tempo', 'harsh', 'house', 'slow tempo']","['drums', 'bass', 'emotional', 'reggae', 'keyboard', 'house']",0.5,"['fast tempo', 'slow tempo']",[],['harsh'],['electronic drums'],a795b03df99eab7829017056f96c5c38
"['cello', 'electronic music', 'fast tempo', 'guitar', 'hypnotic', 'intense', 'percussion', 'slow tempo']","['drums', 'bass', 'guitar', 'funk', 'rock', 'keyboard']",0.8,"['fast tempo', 'slow tempo']",['electronic music'],"['intense', 'hypnotic']","['cello', 'percussion']",95f3ef8b43cadb88ed37ffb04fb2f94e
"['bass', 'cinematic', 'dance song', 'intense', 'male voice', 'moderate tempo', 'spiritual']","['energetic', 'drums', 'bass', 'guitar', 'rock']",1.0,['moderate tempo'],"['cinematic', 'dance song']","['intense', 'spiritual']",['male voice'],7891b4cb5bef6375e7d196ef3045561a
"['cheerful', 'e-guitar', 'fast tempo', 'keyboard accompaniment', 'medium to uptempo', 'pop']",[],2.0,"['medium to uptempo', 'fast tempo']",['pop'],['cheerful'],"['e-guitar', 'keyboard accompaniment']",aa1fee0fc1c9a8e9d31f5f373c4400ac
"['classical', 'emotional', 'fast tempo', 'no voice']","['indie', 'bass', 'funk']",1.0,['fast tempo'],['classical'],['emotional'],['no voice'],b26e33fad6760675aa23cc5774ffcba3
"['cinematic', 'digital drums', 'male voice', 'no voices', 'slower tempo', 'weird']","['emotional', 'piano', 'classical']",0.8,['slower tempo'],['cinematic'],['weird'],"['digital drums', 'male voice', 'no voices']",0a0d59267d45c9d1d3e4e7e69edd196c
"['dramatic', 'drums', 'orchestral', 'piano', 'slow tempo']","['emotional', 'piano', 'guitar', 'classical']",0.5,['slow tempo'],['orchestral'],['dramatic'],['drums'],fcbe402bbfa4d3890376160a0455ed36
"['acoustic guitar', 'ambient sounds', 'emotional', 'medium tempo', 'piano', 'slow tempo']",[],2.0,"['slow tempo', 'medium tempo']",['ambient sounds'],['emotional'],"['acoustic guitar', 'piano']",b1ad1d5f87cb4c72599dcc8c9a2e3417
"['e-guitar', 'emotional', 'hip hop', 'slow tempo', 'uptempo']","['ambient', 'emotional', 'piano']",1.0,"['slow tempo', 'uptempo']",['hip hop'],['emotional'],['e-guitar'],c5815a43a5510215aed3d90d7de0c649
"['bass', 'dance groove', 'energetic', 'fast tempo', 'percussion', 'rock', 'upbeat']","['energetic', 'drums', 'bass', 'rock', 'emotional', 'indie']",0.8,"['upbeat', 'fast tempo', 'dance groove']",[],[],['percussion'],b00d55091df259359fc5b75317d39cda
"['classical music', 'playful', 'slow tempo', 'violin']","['drums', 'bass', 'guitar', 'funk', 'strings', 'jazz', 'violin', 'piano']",2.0,['slow tempo'],['classical music'],['playful'],[],fb34b5bc3e5b2b1ad9ceb9e3294b4f3b
"['acoustic drums', 'aggressive', 'chaotic', 'electronic', 'electronic drums', 'flat male vocal', 'groovy bass', 'metal', 'punchy kick', 'punchy snare', 'rock', 'uptempo']","['electronic', 'emotional', 'piano', 'classical']",1.0,['uptempo'],"['metal', 'rock']","['chaotic', 'aggressive']","['punchy kick', 'electronic drums', 'punchy snare', 'groovy bass', 'flat male vocal', 'acoustic drums']",a58ebd246130f611eefe26b696d5a4d9
"['e-guitar', 'energetic', 'exciting', 'guitar solo', 'hip hop', 'no voices', 'slow tempo', 'uptempo']","['energetic', 'rock', 'piano']",0.5,"['uptempo', 'slow tempo']",['hip hop'],"['energetic', 'exciting']","['guitar solo', 'no voices', 'e-guitar']",e97f4ff7d20f38654d22e2ce3daa5e2f
"['ambient', 'emotional', 'female vocal', 'piano', 'r&b', 'slow tempo']","['bass', 'emotional', 'ambient', 'folk', 'piano']",1.0,['slow tempo'],['r&b'],['emotional'],['female vocal'],abfddfd5011c835fb0049e3403a8d1ae
"['electric guitar', 'energetic', 'groovy', 'groovy synth bass', 'happy', 'pop', 'r&b', 'rock']","['violin', 'happy', 'pop', 'folk']",0.5,"['groovy', 'groovy synth bass']","['rock', 'r&b']","['energetic', 'happy']",['electric guitar'],6737427fa06e8d415c41c2a0cef9dcae
"['acoustic drums', 'hip hop', 'no voices', 'percussion', 'playful', 'uptempo']","['happy', 'folk', 'guitar']",1.5,['uptempo'],['hip hop'],['playful'],"['percussion', 'no voices', 'acoustic drums']",a9e927784355ff67c28d86598e012a54
"['cheerful', 'dance', 'drums', 'electronic music', 'energetic', 'fast tempo']","['drums', 'bass', 'emotional', 'keyboard', 'house']",0.8,['fast tempo'],"['dance', 'electronic music']","['energetic', 'cheerful']",[],50603d6b7368d316c79f90b6526a74d8
"['bass', 'dance music', 'happy mood', 'moderate tempo', 'no voices', 'playful', 'pop song', 'slow tempo']","['drums', 'dance', 'happy', 'bass']",0.8,"['slow tempo', 'moderate tempo']","['dance music', 'pop song']","['happy mood', 'playful']",['no voices'],8855d9660998fb1942c98542342edc63
"['bass', 'digital drums', 'electronic music', 'emotional', 'no voice', 'percussion', 'slow tempo']","['energetic', 'drums', 'bass', 'rock']",0.8,['slow tempo'],['electronic music'],['emotional'],"['digital drums', 'percussion', 'no voice']",e18ce09dc7eb405ea59d1eabde101aed
"['chaotic', 'drums', 'electronic music', 'fast tempo', 'scary', 'slow tempo', 'upbeat']","['drums', 'bass', 'emotional', 'pop', 'keyboard']",0.8,"['slow tempo', 'fast tempo', 'upbeat']",['electronic music'],"['scary', 'chaotic']",[],db714cc02221cc3c10c8c4246a5b5ecc
"['emotional', 'groovy rhythm', 'male singer', 'pop rock']",[],2.0,['groovy rhythm'],['pop rock'],['emotional'],['male singer'],dafe09c4df0832e4c6812ec9698d45ce
"['acoustic guitar', 'calming', 'electronic', 'medium tempo', 'mellow', 'movie music', 'strings', 'uptempo']","['emotional', 'piano', 'classical']",0.8,"['uptempo', 'medium tempo']","['movie music', 'electronic']","['mellow', 'calming']","['acoustic guitar', 'strings']",e3ea3d706ab9960d13dbcf8cafe2aec0
"['bass', 'dance song', 'eerie', 'female voice', 'happy mood', 'moderate tempo', 'playful', 'sensual', 'slow to medium tempo']","['drums', 'bass', 'keyboard', 'happy', 'house']",0.8,"['moderate tempo', 'slow to medium tempo']",['dance song'],"['sensual', 'happy mood', 'eerie', 'playful']",['female voice'],98955e3d55d697295eae466cfe6e9195
"['chaotic', 'cinematic', 'shimmering cymbals', 'uptempo']","['happy', 'trance', 'piano']",0.5,['uptempo'],['cinematic'],['chaotic'],['shimmering cymbals'],2a7921e3a97d72ada7af138cd2e75edf
"['dance music', 'dance rhythm', 'drums', 'electronic drums', 'electronic music', 'energetic', 'fast tempo', 'groovy', 'passionate', 'upbeat']",[],2.0,"['fast tempo', 'dance rhythm', 'upbeat', 'groovy']","['dance music', 'electronic music']","['energetic', 'passionate']","['drums', 'electronic drums']",fc47b7bd1888d0dbdc31bad9fd569173
"['calming', 'dance', 'keyboard', 'medium tempo']","['drums', 'bass', 'guitar', 'funk', 'keyboard', 'jazz']",1.5,['medium tempo'],['dance'],['calming'],[],cc161a8bec234611d3b218e2297e7057
"['acoustic drums', 'alternative rock', 'e-bass', 'medium tempo', 'reggae', 'sensual']",[],2.0,['medium tempo'],"['alternative rock', 'reggae']",['sensual'],"['e-bass', 'acoustic drums']",f5ad8a126f510fbd9a9a48c772734717
"['bass', 'digital drums', 'electronic music', 'moderate tempo', 'playful']","['energetic', 'drums', 'bass', 'rock']",1.5,['moderate tempo'],['electronic music'],['playful'],['digital drums'],e109852e99cf63741327c2db18d37723
"['guitar', 'meditation', 'reggae', 'sensual', 'slow tempo']","['drums', 'happy', 'metal', 'guitar']",2.0,['slow tempo'],"['reggae', 'meditation']",['sensual'],[],60c7e9aeb0a4a4e7e252e1e574eb8552
"['flat male vocal', 'medium tempo', 'rock', 'slow tempo', 'suspenseful']","['electronic', 'funk', 'guitar']",0.5,"['slow tempo', 'medium tempo']",['rock'],['suspenseful'],['flat male vocal'],538ab15bc9cf54d2945bca1f5be7df1c
"['digital drums', 'emotional', 'folk', 'medium tempo', 'soulful', 'uplifting']","['strings', 'happy', 'folk', 'orchestral']",2.0,['medium tempo'],['soulful'],"['emotional', 'uplifting']",['digital drums'],cb3b61451a90f62d96202d4f8df8c276
"['bass', 'electronic music', 'keyboard', 'psychedelic', 'slow tempo']","['drums', 'bass', 'emotional', 'pop', 'keyboard']",1.5,['slow tempo'],['electronic music'],['psychedelic'],['bass'],6dcd9f10818dd88ecbff430be62c2d41
"['emotional', 'flat male vocal', 'folk', 'groovy', 'indie', 'intense', 'punchy kick', 'rock']","['bass', 'rock', 'emotional', 'pop', 'indie']",1.0,['groovy'],"['rock', 'folk']","['emotional', 'intense']","['punchy kick', 'flat male vocal']",99567e96057e6ee36ab11c63b7dea6d6
"['acoustic guitar', 'dreamy', 'medium tempo', 'rock', 'uptempo']",[],2.0,"['medium tempo', 'uptempo']",['rock'],['dreamy'],['acoustic guitar'],77723de0f8e9436f5e73d2a27d847e5f
"['classical', 'flat male vocal', 'fun', 'happy', 'male voice', 'moderate tempo', 'rock']","['emotional', 'strings', 'orchestral']",1.0,['moderate tempo'],"['classical', 'rock']","['happy', 'fun']","['flat male vocal', 'male voice']",cbe36ea43cabc805d6b4984fe1207f0e
"['electronic drums', 'flat male vocal', 'hip hop', 'male voice', 'medium tempo', 'movie soundtrack', 'slow tempo', 'spiritual', 'uptempo']","['happy', 'pop', 'guitar']",0.5,"['medium tempo', 'uptempo', 'slow tempo']","['hip hop', 'movie soundtrack']",['spiritual'],"['male voice', 'electronic drums', 'flat male vocal']",693046c25368d9d44a5cf7dee7f699c0
"['acoustic drums', 'danceable', 'playful', 'upbeat', 'uptempo']",[],2.0,"['upbeat', 'uptempo']",['danceable'],['playful'],['acoustic drums'],e4266b1c406f209059a1b667fec7e527
"['emotional', 'flat male vocal', 'medium tempo', 'orchestral', 'passionate female vocal']","['classical', 'emotional', 'orchestral', 'happy', 'piano']",2.0,['medium tempo'],[],[],"['passionate female vocal', 'flat male vocal']",cb64b9c2d441c5a6cba9d2f3bab5c8e4
"['bass', 'electronic', 'heavy metal', 'moderate tempo']","['drums', 'jazz', 'bass', 'funk']",2.0,['moderate tempo'],['electronic'],['heavy metal'],[],e21d1c2207fd895798555e1b5db924f5
"['drums', 'electric guitar', 'electronic', 'electronic drums', 'energetic', 'piano', 'rising pattern']","['energetic', 'drums', 'bass', 'electronic', 'funk', 'rock', 'keyboard']",0.5,['rising pattern'],[],[],"['electronic drums', 'piano', 'electric guitar']",aa6ce2d7ca0a1f54cf1e2599de4b8297
"['fast tempo', 'gospel', 'guitar', 'intense', 'pop']","['drums', 'bass', 'guitar', 'funk', 'rock', 'keyboard']",1.0,['fast tempo'],"['gospel', 'pop']",['intense'],[],a71693ce12e3da44621ce03da37e5e25
"['bass', 'guitar solo', 'hard rock', 'medium tempo', 'percussion', 'pop']","['drums', 'energetic', 'indie', 'bass']",1.5,['medium tempo'],['pop'],['hard rock'],"['guitar solo', 'percussion']",e51532588aee62685a53a9cf94369044
"['ambient', 'calming', 'drums', 'medium tempo', 'moderate tempo']","['drums', 'emotional', 'strings', 'pop', 'orchestral', 'ambient']",1.0,"['medium tempo', 'moderate tempo']",[],['calming'],[],121091c68c179d89e4f734bbfbc4272a
"['gentle', 'moderate tempo', 'movie music', 'strings']","['drums', 'bass', 'guitar', 'funk', 'strings', 'keyboard', 'jazz', 'violin', 'piano']",0.8,['moderate tempo'],['movie music'],['gentle'],[],136b3d81c6230ed2ed0c9b67a3aa122c
"['acoustic drums', 'electric guitar', 'gentle', 'jazz', 'slow tempo']",[],2.0,['slow tempo'],['jazz'],['gentle'],"['electric guitar', 'acoustic drums']",098ecd12659b6172cbabee60e1cd1e28
"['blues', 'electronic drums', 'emotional', 'flat male vocal', 'folk', 'groovy', 'keyboard', 'no voice', 'no voices', 'passionate', 'slow tempo']","['electronic', 'funk', 'guitar']",0.5,"['slow tempo', 'groovy']","['blues', 'folk']","['emotional', 'passionate']","['flat male vocal', 'keyboard', 'electronic drums', 'no voices', 'no voice']",0741c37175cfeaf37ca3d2a7432021a7
"['beatbox', 'calming', 'energetic', 'folk', 'groovy', 'groovy bass', 'harsh', 'medium tempo', 'passionate', 'percussion', 'uptempo']","['violin', 'happy', 'pop', 'folk']",1.0,"['groovy', 'medium tempo', 'beatbox', 'uptempo']",[],"['calming', 'passionate', 'energetic', 'harsh']","['percussion', 'groovy bass']",3a648cc4e2905154c06c4570cb8fcb82
"['aggressive', 'dark', 'dramatic', 'drums', 'eerie', 'electronic', 'strings', 'techno', 'uptempo']","['drums', 'bass', 'electronic', 'emotional', 'ambient']",0.8,['uptempo'],['techno'],"['dramatic', 'eerie', 'dark', 'aggressive']",['strings'],a6b68ef30a26cb1dd0b73d3d43249d68
"['classical music', 'fast tempo', 'gentle', 'moderate tempo', 'violin']","['drums', 'bass', 'guitar', 'funk', 'keyboard', 'jazz', 'violin']",0.5,"['fast tempo', 'moderate tempo']",['classical music'],['gentle'],[],1fbe454df4c3ce2b8b588a942f3882b4
"['digital drums', 'energetic', 'hip hop', 'medium to uptempo', 'no singer', 'passionate']","['electronic', 'happy', 'piano']",0.5,['medium to uptempo'],['hip hop'],"['energetic', 'passionate']","['no singer', 'digital drums']",af3a6d80d2517f1f23f57ded90df71f4
"['classical', 'fast tempo', 'meditative', 'no voices', 'steady drumming', 'steady drumming rhythm']","['energetic', 'metal', 'guitar']",2.0,['fast tempo'],['classical'],['meditative'],"['steady drumming', 'steady drumming rhythm', 'no voices']",1f24518aead9eecd22ba50c166179269
"['ballad', 'keyboard', 'medium tempo', 'passionate', 'pop', 'slow tempo', 'strings']","['energetic', 'drums', 'bass', 'pop', 'keyboard', 'jazz']",0.5,"['slow tempo', 'medium tempo']",['ballad'],['passionate'],['strings'],344d16c85530d8c1bc21abe45923bfd2
"['funky', 'groovy', 'indie', 'no singer', 'punchy kick']","['indie', 'reggae', 'funk', 'guitar']",2.0,['groovy'],[],['funky'],"['punchy kick', 'no singer']",467cdd696ca38e5d7848cd7663b666f6
"['alternative rock', 'e-bass', 'medium tempo', 'melancholic', 'slow tempo']",[],2.0,"['slow tempo', 'medium tempo']",['alternative rock'],['melancholic'],['e-bass'],0f05e23345fd143183bbb051a2c8c0e4
"['emotional', 'female vocal', 'indie', 'male vocal', 'male vocalist', 'piano', 'slower tempo', 'strings']","['rock', 'pop', 'indie', 'happy', 'piano']",0.5,['slower tempo'],[],['emotional'],"['male vocal', 'male vocalist', 'strings', 'female vocal', 'piano']",f2cf21820843c6fd354c5edfe436cc7d
"['bass', 'cinematic', 'dark', 'medium tempo', 'piano', 'slow tempo']","['energetic', 'drums', 'pop', 'bass']",2.0,"['medium tempo', 'slow tempo']",['cinematic'],['dark'],['piano'],548bd2455e3557001a5eb86920220859
"['ambient', 'classical', 'eerie', 'no voice', 'passionate', 'strings', 'upbeat']","['ambient', 'piano', 'happy', 'classical']",2.0,['upbeat'],['classical'],"['passionate', 'eerie']","['strings', 'no voice']",1fa73386e52d4663b9a13a5cde221edd
"['jazz', 'no voice', 'piano', 'romantic', 'slow tempo', 'trumpets']","['happy', 'indie', 'keyboard', 'piano']",0.8,['slow tempo'],['jazz'],['romantic'],"['no voice', 'trumpets']",31dd547f0cea277e56d9f3af2999c48c
"['calming', 'chill', 'dance', 'danceable', 'electronic dance music', 'energetic', 'keyboard', 'male vocal', 'meditation', 'medium tempo', 'mellow', 'moderate tempo', 'psychedelic', 'slow tempo', 'spiritual']","['drums', 'bass', 'dance', 'funk', 'keyboard']",2.0,"['slow tempo', 'moderate tempo', 'medium tempo']","['electronic dance music', 'dance', 'danceable', 'chill', 'meditation']","['spiritual', 'mellow', 'calming', 'psychedelic', 'energetic']",['male vocal'],af3b996cf9631a61dc5da5905679856e
"['danceable', 'dramatic', 'electronic', 'energetic', 'harsh', 'no singer', 'piano', 'sensual', 'uptempo']","['electronic', 'happy', 'bass', 'house']",0.8,['uptempo'],['danceable'],"['dramatic', 'energetic', 'harsh', 'sensual']","['piano', 'no singer']",b0ea16e279b226c550e1236561fda7d3
"['calming', 'flat male vocal', 'groovy', 'harsh', 'hip hop', 'intense', 'punchy kick', 'shimmering cymbals']","['drums', 'happy', 'pop']",1.0,['groovy'],['hip hop'],"['intense', 'calming', 'harsh']","['flat male vocal', 'shimmering cymbals', 'punchy kick']",5aae2e8ea9f4657aebe21df9e4070cc4
"['dance', 'drums', 'fast tempo', 'happy mood', 'moderate tempo', 'pop song']","['drums', 'energetic', 'indie', 'bass']",2.0,"['moderate tempo', 'fast tempo']","['pop song', 'dance']",['happy mood'],[],6a6b3d1ca14bc6f1ac1d5c27b47d4a05
"['classical', 'classical music', 'emotional', 'ethereal', 'passionate', 'piano', 'slow tempo']","['drums', 'bass', 'guitar', 'funk', 'strings', 'keyboard', 'jazz', 'violin', 'piano']",0.5,['slow tempo'],"['classical', 'classical music']","['emotional', 'passionate', 'ethereal']",[],47129f6d50a1d75b0912d86df1614dbf
"['emotional', 'male vocal', 'medium tempo', 'pop']","['emotional', 'rock', 'guitar']",1.0,['medium tempo'],['pop'],['emotional'],['male vocal'],9873c88c3f83511235f0202131582022
"['acoustic guitar', 'country music', 'emotional', 'keyboard accompaniment', 'no voice', 'slow tempo']",[],2.0,['slow tempo'],['country music'],['emotional'],"['no voice', 'keyboard accompaniment', 'acoustic guitar']",066f64a39723f0c3cf186e67a49a625e
"['bass', 'e-guitar', 'pop', 'sensual', 'upbeat']","['energetic', 'bass', 'pop', 'orchestral', 'piano']",1.5,['upbeat'],[],['sensual'],['e-guitar'],39096e1c98ffe7da4ddbf36c206ade5e
"['classical', 'emotional', 'jazz', 'mellow', 'no voices', 'passionate', 'pop', 'shimmering cymbals', 'uptempo']","['energetic', 'piano', 'folk', 'classical']",1.5,['uptempo'],"['jazz', 'pop']","['mellow', 'passionate', 'emotional']","['shimmering cymbals', 'no voices']",c5c43c54ae1081dad6707aa4f471a177
"['bass', 'electronic', 'female voice', 'medium to uptempo', 'playful', 'slow tempo']","['drums', 'bass', 'guitar', 'funk', 'strings', 'keyboard', 'jazz', 'violin', 'piano']",1.0,"['slow tempo', 'medium to uptempo']",['electronic'],['playful'],['female voice'],2a54b683ed0029d87912462d317b9dd2
"['drums', 'eerie', 'medium to uptempo', 'rock']","['energetic', 'drums', 'bass', 'dance', 'keyboard', 'piano']",1.0,['medium to uptempo'],['rock'],['eerie'],[],aa189c49cfb187c3999e0270e67f2c71
"['drums', 'funk', 'medium to uptempo', 'techno']","['drums', 'bass', 'dance', 'funk', 'keyboard', 'happy']",1.5,['medium to uptempo'],['techno'],[],[],ab45e1f08789c94b008df653c81d1f0c
"['bass', 'emotional', 'fast tempo', 'no voices', 'pop', 'slow tempo']","['energetic', 'drums', 'bass', 'rock', 'pop']",0.5,"['slow tempo', 'fast tempo']",[],['emotional'],['no voices'],d2e35e60e085c8e37f9862b0fe33401b
