caption,aspect_list,tempo_tags,genre_tags,mood_tags,instrument_tags
"This audio clip is of a male vocalist beat boxing. The tempo is fast with the vocalist mimicking vigorous drumming, drum machine rhythms, turn table and other percussions.the rhythm is vigorous, energetic and tireless.","beat boxing, hip hop, rap, energetic",beat boxing,"hip hop, rap",energetic,
The song is an instrumental. The song is medium tempo played by a solo guitarist on a vintage super tone with an exquisite tone. The song is emotional and passionate. The song has poor audio quality.,"medium tempo, country music, melancholic, passionate",medium tempo,country music,"melancholic, passionate",
"The  recording features a folk song that consists of a wooden percussion, groovy bass, breathy flute melody, groovy piano melody, shimmering shakers and sustained strings melody. It sounds passionate, joyful and happy.","folk, happy, joyful, passionate, groovy bass, shimmering shakers",,folk,"happy, joyful, passionate","groovy bass, shimmering shakers"
"A male singer sings this cool hip hop love song with backup singers in vocal harmony. The tempo is medium with keyboard accompaniment, piano accompaniment, steady drumming rhythm, clapping percussion and other sonic effects. The song is emotional and romantic with a cool dance  groove,","groovy rhythm, slick drumming rhythm, dance song, romantic, emotional, passionate, groovy bass line, piano accompaniment, male singer","groovy rhythm, slick drumming rhythm",dance song,"romantic, emotional, passionate","groovy bass line, piano accompaniment, male singer"
"The  recording features a pop song that consists of a passionate male vocal singing over mellow kick hits, shimmering hi hats, wide electric guitar melody, syncopated snare and wooden percussion. The first half of the loop does not consist of the vocal, snare and hi hats. It sounds happy, fun and joyful.","syncopated snare, pop, happy, joyful, fun, passionate male vocal",syncopated snare,pop,"happy, joyful, fun",passionate male vocal
"The Folk song features a passionately played sitar guitar, groovy bass and short offbeat accordion chords, followed by metallic percussive elements and punchy kick. The recording is a bit lower in quality due to loud clicky keys sounds. It sounds passionate and emotional.","folk, emotional, groovy bass, punchy kick",,folk,emotional,"groovy bass, punchy kick"
"The  recording features a pop song that consists of an echoing male vocal singing over punchy kick and snare hits, shimmering hi hats, metallic percussions, synth lead melody, synth pad chords and groovy synth bass. It sounds energetic, nostalgic and exciting - like something you would hear in clubs during the 80s.","groovy synth bass, pop, exciting, nostalgic, energetic, punchy snare, punchy kick",groovy synth bass,pop,"exciting, nostalgic, energetic","punchy snare, punchy kick"
An acoustic drum set is playing a 16th note rhythm using the edge of his snare and a hihat sound opening and closing. A banjo is playing a fast melody along with a violin/viola playing the same melody. An upright bass is playing a walking bassline. This song may be playing in a funny tv-show.,"uptempo, country, violin",uptempo,country,,violin
"A female vocalist sings this soprano solo. The tempo is slow with a classic orchestral accompaniment of violin harmony, an intense incessant cello melody, brass instrument and organ. The song is an intense, emotional, beseeching, sad, and imploring classic opera .","slow tempo, classical music, ethereal, emotional, passionate, orchestra",slow tempo,classical music,"ethereal, emotional, passionate",orchestra
"This music is a melodic instrumental. The tempo is medium  with a captivating electric guitar lead, rhythmic acoustic guitar, funky bass line, keyboard accompaniment, steady drumming and trumpets. The music is soothing, atmospheric, euphonious, youthful, and soulful. This instrumental is a Soft Rock/Funk pop.","medium tempo, groovy, rhythmic acoustic guitar, pop rock, soul, ambient, soothing, soft rock, funky, steady drumming, groovy bass line, trumpets","medium tempo, groovy, rhythmic acoustic guitar","pop rock, soul, ambient","soothing, soft rock, funky","steady drumming, groovy bass line, trumpets"
"A male singer sings this beautiful melody with backup singers in vocal harmony. The song is medium tempo with a percussive string section, strong bass line, guitar lead, steady drumming rhythm , keyboard accompaniment and various percussion clicks. The song is emotional and romantic. The song is of poor audio quality.","medium tempo, romantic, emotional, keyboard harmony, steady drumming rhythm, male singer",medium tempo,,"romantic, emotional","keyboard harmony, steady drumming rhythm, male singer"
"The  recording features a folk song that consists of a passionate female vocal singing over harmonica solo, groovy bass, shimmering hi hats, punchy snare, boomy kicks, groovy electric guitar melody and some claps. It sounds passionate and joyful.","folk, joyful, passionate, punchy snare, passionate female vocal, clapping, groovy bass",,folk,"joyful, passionate","punchy snare, passionate female vocal, clapping, groovy bass"
"The Jazz song features a saxophone solo melody played over shimmering shakers, tinny metallic percussions and mellow sustained brass melody. It sounds passionate, emotional and soulful.","jazz, soulful, emotional, passionate, shimmering shakers",,"jazz, soulful","emotional, passionate",shimmering shakers
"A low fidelity recording of a gospel choir with group vocals, a female singer, a male rapper, piano, a busy kick pattern, finger snaps and a slow tempo. The mood is hopeful and spiritual.","slow tempo, gospel, spiritual, piano, female singer",slow tempo,gospel,spiritual,"piano, female singer"
"A female singer sings and chants with Emily. The tempo is fast with a quick drumming rhythm, percussive bass line, strong drumming rhythm and keyboard accompaniment. The song is exciting  and energetic. The song is an anime show soundtrack.","fast tempo, groovy drumming rhythm, distorted guitar rhythm, exciting, energetic, passionate, keyboard accompaniment","fast tempo, groovy drumming rhythm, distorted guitar rhythm",,"exciting, energetic, passionate",keyboard accompaniment
The song is an instrumental. The song is in slow tempo with a theremin playing a melancholic melody with a guitar accompaniment. The song is emotional and lilting. The audio quality is poor.,"slow tempo, ambient noises, romantic, sad, emotional",slow tempo,ambient noises,"romantic, sad, emotional",
"The  recording features a reggae/dub song that consists of a flat male vocal singing over punchy 808 bass, punchy snare, shimmering hi hats and groovy piano chords. It sounds energetic, groovy and the recording is noisy and in mono - due to the fact that the sound is coming from the right channel only.","groovy piano chords, energetic, punchy snare, flat male vocal",groovy piano chords,,energetic,"punchy snare, flat male vocal"
A loud cymbal sound is opening the space for a digital drum playing a simple groove when an e-guitar-like sound comes in and plays a melody on top. This is an amateur recording. This song may be playing in a sensual movie scene.,"slow tempo, r&b, digital drums",slow tempo,r&b,,digital drums
"A male vocalist sings this enthusiastic latin melody. The tempo is medium with keyboard harmony, rhythmic Spanish guitar,percussive congas, bongos and guiro with tambourine beats. There is a loud siren-like sound superimposed over the song. The song is lively, simple,emotional, youthful, rhythmic, catchy with a latin dance grove.","dance groove, upbeat, groovy, latin dance music, keyboard harmony, male vocalist","dance groove, upbeat, groovy",latin dance music,,"keyboard harmony, male vocalist"
"A male vocalist sings this soft love song. The tempo is slow with a romantic piano accompaniment, groovy bass line, steady drumming and ambient saxophone harmony. The song is a romantic, emotional, mellow, sentimental, proposal or wedding song. This song is a R&B/Soul song.","syncopated, slow tempo, jazz, soul, r&b, blues, romantic, sentimental, emotional, steady drumming, groovy bass line, male singer","syncopated, slow tempo","jazz, soul, r&b, blues","romantic, sentimental, emotional","steady drumming, groovy bass line, male singer"
This pop song features a male voice singing the main melody. This is accompanied by programmed percussion playing a simple beat. The snare is struck on alternate counts. The bass plays the root notes of the chords. A synth plays chords on the first count of every bar. A shaker plays a pattern in the background. The mood of this song is romantic. This song can be played in a romantic movie.,"slow tempo, pop song, male voice, bass",slow tempo,pop song,,"male voice, bass"
"This song is a lively Ukrainian duet. The tempo is fast and upbeat with a bright keyboard harmony, infectious drumming , groovy bass line and rhythmic acoustic guitar. The music is energetic, enthusiastic, lively, high-spirited , cheerful, happy, warm, buoyant and catchy with a simple melody. This song is a Ukrainian Pop song.","fast tempo, groovy bass lines, upbeat, rhythmic acoustic guitar, folk, pop, cheerful, energetic, keyboard harmony","fast tempo, groovy bass lines, upbeat, rhythmic acoustic guitar","folk, pop","cheerful, energetic",keyboard harmony
"This music is instrumental. The tempo is fast with a spirited cello and harpsichord accompaniment. The music is lively, intense, rich, complex , exquisite and engaging. This music a Western Classical.","fast tempo, classical, intense",fast tempo,classical,intense,
"The  recording features synth pad chords and synth keys chords played over punchy snare, heartbeat kick and shimmering hi hats. It sounds easygoing, chill and groovy.","groovy, chill, punchy snare",groovy,chill,,punchy snare
"The song is an instrumental. The song is slow tempo with gentle drum brushes, percussion, bass guitar solo, and piano accompaniment gently. The song is groovy and emotional. The song is possibly a Christian worship song or a smooth jazz song. The audio quality is average.","slow tempo, romantic, poignant, inspiring, emotional, piano accompaniment",slow tempo,,"romantic, poignant, inspiring, emotional",piano accompaniment
"The first song starts with a hihat, e-guitar playing a melody and a bassline. Then the song changes after some radio noise sounds into a pop song containing a piano; male backing voices; synth lead sound and a female singer. These songs may be playing for an advertisement.","medium to uptempo, pop, rock, piano, e-bass, e-guitar, drums",medium to uptempo,"pop, rock",,"piano, e-bass, e-guitar, drums"
"The Rock song features an energetic male vocal singing over repetitive electric guitar melody, groovy bass, punchy kick and snare, shimmering hi hats and energetic crash cymbal. There is a short drum roll that represents a variation in a repetitive loop. It sounds energetic and passionate.","rock, energetic, passionate, punchy snare, punchy kick, groovy bass",,rock,"energetic, passionate","punchy snare, punchy kick, groovy bass"
"A male vocalist sings this soft Korean Melody. The tempo is medium with a romantic piano accompaniment, steady drumming, simple bass lines, chimes, synthesiser arrangements and male vocal backup. The song is a soft, mellow, romantic, emotional, sentimental, dulcet, melodic love song. This song is a Korean Soft Pop/K-pop song.","medium tempo, pop, ambient, romantic, sentimental, emotional, steady drumming, male vocalist",medium tempo,"pop, ambient","romantic, sentimental, emotional","steady drumming, male vocalist"
This is a rock music piece with a male vocal. The synth and the piano are playing the main melody in a minor scale while the bass guitar is supporting them in the background. The rhythm is played by acoustic drums although it is rather slow. The song has a sad atmosphere. It could be played in the background of emotional online content.,"slow, rock music, melancholic, piano, acoustic drums, bass guitar, male vocal",slow,rock music,melancholic,"piano, acoustic drums, bass guitar, male vocal"
A female voice is singing in a higher pitch sounding melancholic. A digital drum is playing an unusual rhythm along with a soft sub bass and loud repeating digital industrial noises. This song may be playing in a post-apocalyptic video game-sequence.,"medium to uptempo, melancholic, digital drums",medium to uptempo,,melancholic,digital drums
"A male vocalist sings this Rap. The tempo is slow with enthusiastic drumming, syncopated piano harmony, digital beats ,keyboard arrangements with vocal backup and a catchy vocal riff. The rap is catchy, youthful, insightful, enthusiastic, intense, passionate, emotional and persuasive. This song is contemporary Rap/Hip-Hop.","rhythmic patter, rhythmic speech, slow tempo, rap, emotional, intense, passionate, groovy bass line, male vocalist","rhythmic patter, rhythmic speech, slow tempo",rap,"emotional, intense, passionate","groovy bass line, male vocalist"
This song features two cellos playing a melody in harmony. This is accompanied by hand claps on every alternate count of the bars. The bass plays the root notes of the chords. The kick drum is played at the intro. There are no voices in this song. This is an instrumental song with a happy feel. This song can be played in a luxury advertisement.,"moderate tempo, happy mood, no voices, bass",moderate tempo,,happy mood,"no voices, bass"
"A male vocalist sings this sweet animated song in a foreign language.The tempo is fast with an equally animated and cheerful piano accompaniment. The song is simple, sweet, adorable,catchy, lovable, catchy, upbeat, cute, engaging, winsome and charming. This song is a Children’s song from an animated series.","fast tempo, cheerful, soft, fun, male vocalist",fast tempo,,"cheerful, soft, fun",male vocalist
"The Rock song features a passionate male vocal, alongside harmonizing male vocals, singing over wide electric guitar melody, groovy bass guitar, punchy kick and snare hits and some shimmering cymbals. It sounds energetic and kind of addictive thanks to those harmonizing vocals - like something you would hear on a radio during the 00s.","rock, energetic, passionate male vocal, shimmering cymbals, groovy bass, punchy snare, punchy kick",,rock,energetic,"passionate male vocal, shimmering cymbals, groovy bass, punchy snare, punchy kick"
"The song is mostly instrumental with a faint male vocal. The song is medium tempo with a slick drumming rhythm , booming bass line, siren tones and a keyboard playing  arpeggiated tones. The song is followed by camera flash and click tones. The song is exciting with a lot of fanfare. The song is fading with the end credits superimposed with camera flash tones.","dance rhythm, medium tempo, slick drumming rhythm, hip hop, exciting, groovy bass line, male singer","dance rhythm, medium tempo, slick drumming rhythm",hip hop,exciting,"groovy bass line, male singer"
"The Pop song features a passionate male vocal singing over mellow piano chords. It sounds passionate, emotional, mellow and soft.","pop, soft, mellow, emotional, passionate, passionate male vocal",,pop,"soft, mellow, emotional, passionate",passionate male vocal
"The song is an instrumental. The song is fast in tempo, with a bagpiper playing a Solo melody accompanied by a drum rhythm and people cheering and clapping wildly. The song is rousing in spirit and fervour. The song has a bad audio quality.","medium fast tempo, exciting, energetic, passionate, groovy bass",medium fast tempo,,"exciting, energetic, passionate",groovy bass
"The Metal song features a distorted flat male vocal singing over wide aggressive electric guitar riffs, distorted bass guitar, punchy snare, double pedal kick and shimmering cymbals. It sounds energetic, aggressive and manic - like something you would go into a mosh pit for.","metal, energetic, aggressive, punchy snare, shimmering cymbals",,metal,"energetic, aggressive","punchy snare, shimmering cymbals"
"This song contains two pianos panned to both sides of the speakers playing melodies in the mid to upper range. A female voice, maybe a child sings a melody in a very high pitch. THis song may be playing as part of a movie-scene.","medium tempo, ballad, melancholic",medium tempo,ballad,melancholic,
This pop song features a male voice singing the main melody using vocables. This is accompanied by an acoustic guitar strumming chords. The piano fills at a higher register and also plays chords. The bass guitar plays the root notes of the chords without any flourishes. A shaker is used in the background which acts as the percussion. Hand claps are played at every alternate count. Bells are played on the first count of the first two bars of each phrase. The melody is happy and upbeat. This song can be played in a movie scene featuring a family on a road trip.,"moderate tempo, pop song, happy mood, male voice, bass guitar, acoustic guitar",moderate tempo,pop song,happy mood,"male voice, bass guitar, acoustic guitar"
"A male vocalist sings this trippy Electronic song. The tempo is slow with synthesiser arrangement, digital drums and electronically articulated music. The song is catchy, youthful, enthusiastic, trippy, psychedelic , new age, and groovy. This song is an Electro -Hop/ Hip-Hop.","slow tempo, electronic music, trap, rap, psychedelic, hypnotic, male vocalist, digital drums",slow tempo,"electronic music, trap, rap","psychedelic, hypnotic","male vocalist, digital drums"
This is a song for children. The song is in major key as is usual with almost all kids songs. There is a female vocalist in the lead. The melody is being played by an acoustic guitar while a bass guitar plays a simple bass line. The electric guitar is playing delayed notes for texture. The acoustic drums are playing a basic medium tempo beat in the rhythmic background. The atmosphere is easygoing. This piece could be used during activities in a kindergarten.,"medium tempo, playful, electric guitar, acoustic drums, bass guitar, female vocal, acoustic guitar",medium tempo,,playful,"electric guitar, acoustic drums, bass guitar, female vocal, acoustic guitar"
"This clip is an instrumental of two separate tracks. The tempo is medium with the first clip of ambient nature sounds during a rainfall like, thunder, lightning and water flowing followed by  a rhythmic clanging of metal. The second clip is sinister music on the synthesiser followed by the buzzing of an electric circuit. The audio is dark, sinister, anticipatory, scary, suspenseful and spooky.","medium tempo, electronic music, scary, intense, eerie, dark",medium tempo,electronic music,"scary, intense, eerie, dark",
"A male vocalist sings this mellow rap. The tempo is medium with a groovy bass line, keyboard harmony , slick drumming and vocal backup. The song is youthful, story telling, passionate, impactful, compelling and engaging. This song is contemporary Hip-Hop/Rap.","rhythmic speech, slow tempo, rap, emotional, passionate, male singer","rhythmic speech, slow tempo",rap,"emotional, passionate",male singer
"The  recording features a live performance of a gospel song and it consists of passionate male vocal singing over harmonizing mixed choir in the background. The recording is a bit noisy and it has some footsteps sounds in it, but overall it sounds passionate, emotional and soulful - as every gospel song should sound.","gospel, soulful, emotional, passionate, passionate male vocal",,"gospel, soulful","emotional, passionate",passionate male vocal
"The song is an instrumental. The song is medium tempo with an accordion accompaniment, violin solo and a flute melody. The song is beautiful and nostalgic. The audio quality is poor. The song has an old gypsy soul to it.","medium tempo, folk music, calming, soothing, nostalgic",medium tempo,folk music,"calming, soothing, nostalgic",
"A group of male vocalists sing this happy, upbeat country /bluegrass song. The tempo is fast with vigorous and animated acoustic guitar, banjo, mandolin and auto harp lead and harmony. The song is a live performance with ambient sounds of clapping, cheering and people talking. This song is a cheerful Country Pop/Bluegrass song.","fast tempo, ambient noises, country music, happy, cheerful, acoustic guitar, clapping",fast tempo,"ambient noises, country music","happy, cheerful","acoustic guitar, clapping"
"The  recording features a pop song performed by passionate male vocalists, followed by acoustic guitar arpeggiated melody and mellow piano melody. It sounds heartfelt and emotional. There are some crowd noises in the background.","pop, emotional, passionate male vocal",,pop,emotional,passionate male vocal
"This heavy metal song features a female voice rapping the main vocals. The voice is aggressive and high pitched. This is accompanied by distortion guitars playing aggressive riffs. The distortion guitars play using muted power chords lending a heavy tone to the rhythm section. The bass follows the same riffs as the guitars. The percussion plays an aggressive rock beat using double kicks in parts, following the guitar riffs. This song has a rebellious mood. This song can be played in a Transformers-style machine movie.","moderate tempo, rapping, heavy metal, female voice, bass",moderate tempo,rapping,heavy metal,"female voice, bass"
"This music clip is of a male vocalist doing a beat box. The tempo is medium fast with the vocalist imitating the digital drums, turntable and Dj mixer to a perfection. This vocal percussion is lively, rhythmic, youthful and engaging.","medium fast tempo, dance groove, beat boxing, rhythmic, rap, male vocalist","medium fast tempo, dance groove, beat boxing, rhythmic",rap,,male vocalist
This is a hip-hop piece. There is a male vocal rapping at the forefront while other male vocals can be heard singing ad-libs. A repeated theme is being played by a keyboard. A synth bass with low-to-mid characteristics can be heard playing in the background. The rhythmic background consists of a hard-hitting electronic drum beat. The atmosphere is groovy. This piece could be played at nightclubs. It would also suit well with a sports venue setting.,"groovy, rapping, dance, keyboard, electronic drums",groovy,"rapping, dance",,"keyboard, electronic drums"
"The male mid to high range voice sings loudly and full of emotions pouring out of his soul while strumming some minor chords on the guitar. This recording is of poor quality. This song may be played in an open mic, poetry bar.","soulful, emotional, acoustic guitar, male singer",,soulful,emotional,"acoustic guitar, male singer"
"This song is a Rock instrumental. The tempo is medium fast with an aggressive electric guitar harmony, steady drumming, keyboard accompaniment, groovy bass lines. The audio quality is inferior so the finer aspects; are hard to detect. Overall the vibe of the song is intense,dangerous, sinister, spooky, goth, threatening and suspenseful. This song is Hard Rock/Metal.","fast tempo, metal, hard rock, intense, suspenseful, eerie, steady drumming, groovy bass line",fast tempo,metal,"hard rock, intense, suspenseful, eerie","steady drumming, groovy bass line"
This is a finnish techno pop piece with polka influences. There is a female vocalist in the lead singing rapidly in a manner that resembles yodeling. A male vocalist occasionally joins her at a lower pitch while singing the melody. The melodic background consists of a keyboard tune and a simple bass line. The rhythmic background is provided by an electronic disco drum beat. The atmosphere is playful and danceable. This piece could be used in the background of a comedic social media content. It could also be played at children's events.,"medium tempo, danceable, playful, bass, female vocal, male vocal, electronic drums, keyboard",medium tempo,danceable,playful,"bass, female vocal, male vocal, electronic drums, keyboard"
"This music is a western classical instrumental. The tempo is slow with a cello solo. The music is soft, rich, deep, mellow, euphonious, pensive, melancholic, emotional and sentimental.","slow tempo, classical music, nostalgic, soft, orchestra, cello",slow tempo,classical music,"nostalgic, soft","orchestra, cello"
"A female vocalist sings this Gospel song. The tempo is medium with groovy bass lines, keyboard accompaniment, electric guitar and acoustic guitar rhythm,tambourine beats and choral harmony. The song is a spirited,emotional,fervent, earnest and devotional Christian Worship Song.","medium tempo, emotional, passionate, electric guitar, groovy bass, keyboard accompaniment, acoustic guitar, female singer",medium tempo,,"emotional, passionate","electric guitar, groovy bass, keyboard accompaniment, acoustic guitar, female singer"
The song is an instrumental. The song is medium tempo with various marching band drums playing in sync. The song is highly energetic and spirited. The song is bad in audio quality. The song is a college marching band playing enthusiastically.,"dance rhythm, medium tempo, groovy rhythm, energetic, passionate, drums","dance rhythm, medium tempo, groovy rhythm",,"energetic, passionate",drums
"The  recording features an electro pop song that consists of an echoing passionate male vocal singing over groovy synth keys chord progression, punchy snare hits, followed by snare roll, wide laser synths and reversed crash riser. It sounds exciting and energetic - like a build up section of the song.","electro pop, exciting, energetic, punchy snare",,electro pop,"exciting, energetic",punchy snare
"The song is instrumental. The tempo is fast with violins playing in harmony showing exemplary technique. The song is emotional, spirited and passionate. The song is a western classical music hit. The audio quality is poor.","fast tempo, western classical music, melancholic, passionate",fast tempo,western classical music,"melancholic, passionate",
