instrument_tags,mood_tags,genre_tags,tempo_tags,aspect_list,id
"bass guitar, digital drums, cello","psychedelic, positive, happy mood, soft, hypnotic, soft rock",pop,"uptempo, rhythmic beat, acoustic rhythm guitar chords, groovy rhythm, groovy piano chords, fast tempo, dance groove","bass guitar, digital drums, cello, psychedelic, positive, happy mood, soft, hypnotic, soft rock, pop, uptempo, rhythmic beat, acoustic rhythm guitar chords, groovy rhythm, groovy piano chords, fast tempo, dance groove",sample_0031
trumpets,"funky, psychedelic, cheerful, dreamy, energetic","latin dance music, dance song","rhythmic speech, groovy double bass, groovy bass lines, medium to uptempo, mid tempo, groovy drumming rhythm","trumpets, funky, psychedelic, cheerful, dreamy, energetic, latin dance music, dance song, rhythmic speech, groovy double bass, groovy bass lines, medium to uptempo, mid tempo, groovy drumming rhythm",sample_0032
"guitar, punchy kick, keyboard accompaniment","soothing, funk, calm",alternative rock,"dance groove, groovy rhythm, moderate tempo, medium tempo","guitar, punchy kick, keyboard accompaniment, soothing, funk, calm, alternative rock, dance groove, groovy rhythm, moderate tempo, medium tempo",sample_0033
"groovy bass line, flute","dark, mysterious, exciting, melancholic","dance music, ambient noises, techno, dance, soul, rap, folk music, electronic music, pop song, movie music, alternative rock, danceable, country music","groovy drumming rhythm, upbeat, slow tempo, medium tempo, beatboxing, rhythmic acoustic guitar, rhythmic patter","groovy bass line, flute, dark, mysterious, exciting, melancholic, dance music, ambient noises, techno, dance, soul, rap, folk music, electronic music, pop song, movie music, alternative rock, danceable, country music, groovy drumming rhythm, upbeat, slow tempo, medium tempo, beatboxing, rhythmic acoustic guitar, rhythmic patter",sample_0034
"no percussion, electronic drums, keyboard harmony, claps, no voices","playful, chaotic, sentimental","rap, meditation",rhythmic speech,"no percussion, electronic drums, keyboard harmony, claps, no voices, playful, chaotic, sentimental, rap, meditation, rhythmic speech",sample_0035
"e-guitar, trumpets, keyboard","calming, inspiring, mellow, passionate, energetic, happy, fun",trance,fast tempo,"e-guitar, trumpets, keyboard, calming, inspiring, mellow, passionate, energetic, happy, fun, trance, fast tempo",sample_0036
punchy kick,"romantic, emotional, happy, fun, passionate, mellow",blues,"groovy, upbeat","punchy kick, romantic, emotional, happy, fun, passionate, mellow, blues, groovy, upbeat",sample_0037
"female voice, bass guitar, passionate female vocal, shimmering cymbals, male vocal, tambourine","heavy metal, romantic","dance, hip hop","dance groove, rhythmic patter, medium to uptempo, dance rhythm","female voice, bass guitar, passionate female vocal, shimmering cymbals, male vocal, tambourine, heavy metal, romantic, dance, hip hop, dance groove, rhythmic patter, medium to uptempo, dance rhythm",sample_0038
"shimmering shakers, no singer","psychedelic, energetic, joyful",danceable,"groovy, uptempo","shimmering shakers, no singer, psychedelic, energetic, joyful, danceable, groovy, uptempo",sample_0039
no voices,"energetic, people dancing, eerie",ballad,syncopated snare,"no voices, energetic, people dancing, eerie, ballad, syncopated snare",sample_0040
male voice singing,"calming, passionate, romantic",r&b,groovy rhythm,"male voice singing, calming, passionate, romantic, r&b, groovy rhythm",sample_0041
"groovy bass, bass guitar, piano, male voice, punchy kick, male singer",energetic,"pop rock, pop, pop song, movie soundtrack, indie, electronic music, rapping, alternative rock, country",fast tempo,"groovy bass, bass guitar, piano, male voice, punchy kick, male singer, energetic, pop rock, pop, pop song, movie soundtrack, indie, electronic music, rapping, alternative rock, country, fast tempo",sample_0042
"digital drums, e-bass, flute","happy, fun","hip hop, metal, dance, electronic music, techno, ambient, country music, dance music",medium to uptempo,"digital drums, e-bass, flute, happy, fun, hip hop, metal, dance, electronic music, techno, ambient, country music, dance music, medium to uptempo",sample_0043
electric guitar,"spiritual, mellow, heavy metal",dance,dance groove,"electric guitar, spiritual, mellow, heavy metal, dance, dance groove",sample_0044
"percussion, shimmering cymbals, orchestra, cello","passionate, happy mood, weird, energetic, epic",danceable,strong drumming rhythm,"percussion, shimmering cymbals, orchestra, cello, passionate, happy mood, weird, energetic, epic, danceable, strong drumming rhythm",sample_0045
"piano, piano accompaniment, male vocalist","joyful, fun",alternative rock,uptempo,"piano, piano accompaniment, male vocalist, joyful, fun, alternative rock, uptempo",sample_0046
"male vocal, steady drumming rhythm",soft,dance,beatbox,"male vocal, steady drumming rhythm, soft, dance, beatbox",sample_0047
acoustic guitar,"dark, positive, intense, energetic, dramatic","folk song, danceable, orchestral, country, classical, r&b, ambient, movie music","medium tempo, rhythmic acoustic guitar, rhythm","acoustic guitar, dark, positive, intense, energetic, dramatic, folk song, danceable, orchestral, country, classical, r&b, ambient, movie music, medium tempo, rhythmic acoustic guitar, rhythm",sample_0048
"no voice, acoustic guitar",calming,"country, dance music, dance",slow to medium tempo,"no voice, acoustic guitar, calming, country, dance music, dance, slow to medium tempo",sample_0049
"male voice, no voices, punchy kick, claps","sad, sentimental","reggae, dance pop, classical, electronic dance music",medium fast tempo,"male voice, no voices, punchy kick, claps, sad, sentimental, reggae, dance pop, classical, electronic dance music, medium fast tempo",sample_0050
"groovy bass line, female singer, claps, female vocal","energetic, psychedelic, sad","hip hop, rock music, trap, latin dance music, cinematic","slow tempo, contemporary, syncopated, acoustic rhythm guitar chords","groovy bass line, female singer, claps, female vocal, energetic, psychedelic, sad, hip hop, rock music, trap, latin dance music, cinematic, slow tempo, contemporary, syncopated, acoustic rhythm guitar chords",sample_0051
"electric guitar, percussion",chaotic,rock,uptempo,"electric guitar, percussion, chaotic, rock, uptempo",sample_0052
male singer,"nostalgic, soft, mellow, happy, exciting","chill, reggae, trap, movie soundtrack, techno, trance, rock",groovy double bass,"male singer, nostalgic, soft, mellow, happy, exciting, chill, reggae, trap, movie soundtrack, techno, trance, rock, groovy double bass",sample_0053
"bass guitar, guitar, keyboard, no percussion, drums","exciting, people dancing, romantic, emotional, soft, suspenseful, energetic","electro pop, blues",dance groove,"bass guitar, guitar, keyboard, no percussion, drums, exciting, people dancing, romantic, emotional, soft, suspenseful, energetic, electro pop, blues, dance groove",sample_0054
punchy snare,scary,dance pop,upbeat,"punchy snare, scary, dance pop, upbeat",sample_0055
"piano, female vocal, male vocalist, acoustic drums, punchy snare","happy, hard rock",rock,slow tempo,"piano, female vocal, male vocalist, acoustic drums, punchy snare, happy, hard rock, rock, slow tempo",sample_0056
"acoustic guitar, male voice",epic,"alternative rock, ambient sounds, cinematic",groovy synth bass,"acoustic guitar, male voice, epic, alternative rock, ambient sounds, cinematic, groovy synth bass",sample_0057
"bass guitar, punchy snare, acoustic drums, punchy kick, digital drums",calming,"pop rock, country, r&b, jazz, folk music",groovy rhythm,"bass guitar, punchy snare, acoustic drums, punchy kick, digital drums, calming, pop rock, country, r&b, jazz, folk music, groovy rhythm",sample_0058
"bass, male vocal, guitar solo, flute, piano","calm, soft",pop rock,rhythm,"bass, male vocal, guitar solo, flute, piano, calm, soft, pop rock, rhythm",sample_0059
female voice,"fun, happy, calm",indie,"rhythmic acoustic guitar, groovy, moderate tempo","female voice, fun, happy, calm, indie, rhythmic acoustic guitar, groovy, moderate tempo",sample_0060
"e-bass, digital drums, female voice","mysterious, romantic, emotional, energetic, ethereal, harsh","techno, rap","slow to medium tempo, fast tempo, 4 on the floor kick pattern","e-bass, digital drums, female voice, mysterious, romantic, emotional, energetic, ethereal, harsh, techno, rap, slow to medium tempo, fast tempo, 4 on the floor kick pattern",sample_0061
punchy kick,epic,electronic music,groovy bass lines,"punchy kick, epic, electronic music, groovy bass lines",sample_0062
"passionate male vocal, male vocal, strings, e-guitar, female singer",weird,electronic,groovy,"passionate male vocal, male vocal, strings, e-guitar, female singer, weird, electronic, groovy",sample_0063
"no singer, keyboard accompaniment, no voices",chaotic,"dance music, electronic music, electronic, chill",beatboxing,"no singer, keyboard accompaniment, no voices, chaotic, dance music, electronic music, electronic, chill, beatboxing",sample_0064
male voice singing,fun,"techno, movie soundtrack, electronic music, trap, classical","rhythmic beat, groovy rhythm","male voice singing, fun, techno, movie soundtrack, electronic music, trap, classical, rhythmic beat, groovy rhythm",sample_0065
"piano accompaniment, male vocalist, female singer, no voice, male voice",joyful,"dance, indie, dance pop, rock, ballad","acoustic rhythm guitar chords, slow tempo","piano accompaniment, male vocalist, female singer, no voice, male voice, joyful, dance, indie, dance pop, rock, ballad, acoustic rhythm guitar chords, slow tempo",sample_0066
"e-bass, claps, cello, violin, keyboard harmony, no voice","dramatic, exciting, chaotic, emotional","danceable, soulful","slow tempo, medium tempo, dance groove","e-bass, claps, cello, violin, keyboard harmony, no voice, dramatic, exciting, chaotic, emotional, danceable, soulful, slow tempo, medium tempo, dance groove",sample_0067
no singer,"heavy metal, fun","rap, pop rock",groovy music,"no singer, heavy metal, fun, rap, pop rock, groovy music",sample_0068
"clapping, keyboard, violin, piano accompaniment, guitar","cheerful, epic, calming","blues, rap, meditation, indie, movie music",moderate tempo,"clapping, keyboard, violin, piano accompaniment, guitar, cheerful, epic, calming, blues, rap, meditation, indie, movie music, moderate tempo",sample_0069
no voices,"mellow, romantic",rock,medium tempo,"no voices, mellow, romantic, rock, medium tempo",sample_0070
"male voice, guitar solo, tambourine, acoustic guitar, keyboard harmony, shimmering shakers, e-guitar, male vocalist, punchy snare",sensual,ambient,"rhythmic speech, steady rhythm","male voice, guitar solo, tambourine, acoustic guitar, keyboard harmony, shimmering shakers, e-guitar, male vocalist, punchy snare, sensual, ambient, rhythmic speech, steady rhythm",sample_0071
"male voice, punchy snare, piano accompaniment, male singer","passionate, funk, people dancing, weird, sensual",soulful,medium fast tempo,"male voice, punchy snare, piano accompaniment, male singer, passionate, funk, people dancing, weird, sensual, soulful, medium fast tempo",sample_0072
"groovy bass, no singer, strings, no percussion","passionate, scary","jazz, dance music","syncopated rhythms, rhythmic speech","groovy bass, no singer, strings, no percussion, passionate, scary, jazz, dance music, syncopated rhythms, rhythmic speech",sample_0073
"bass guitar, bass","sentimental, mellow, epic, aggressive","electronic music, jazz, ballad","slow tempo, groovy drumming rhythm, dance rhythm","bass guitar, bass, sentimental, mellow, epic, aggressive, electronic music, jazz, ballad, slow tempo, groovy drumming rhythm, dance rhythm",sample_0074
female singer,"sad, mellow, scary, chaotic, positive","ambient sounds, meditation, gospel, ballad, folk song",rhythmic acoustic guitar,"female singer, sad, mellow, scary, chaotic, positive, ambient sounds, meditation, gospel, ballad, folk song, rhythmic acoustic guitar",sample_0075
"acoustic drums, no voice",energetic,"folk music, movie music, soulful, ambient sounds, chill, rock, r&b, soul","distorted guitar rhythm, slow to medium tempo, uptempo, groovy bass lines","acoustic drums, no voice, energetic, folk music, movie music, soulful, ambient sounds, chill, rock, r&b, soul, distorted guitar rhythm, slow to medium tempo, uptempo, groovy bass lines",sample_0076
"cello, no voices","hard rock, weird, passionate","trap, ballad, pop",uptempo,"cello, no voices, hard rock, weird, passionate, trap, ballad, pop, uptempo",sample_0077
"no percussion, electric guitar, clapping, cello","gentle, uplifting, energetic",electronic,medium tempo,"no percussion, electric guitar, clapping, cello, gentle, uplifting, energetic, electronic, medium tempo",sample_0078
"female singer, bass, e-bass",sensual,hip hop,"upbeat, slow tempo","female singer, bass, e-bass, sensual, hip hop, upbeat, slow tempo",sample_0079
"female vocal, female voice","fun, dark",classical,medium to uptempo,"female vocal, female voice, fun, dark, classical, medium to uptempo",sample_0080
"e-bass, trumpets",calming,pop rock,fast tempo,"e-bass, trumpets, calming, pop rock, fast tempo",sample_0081
"clapping, e-guitar, cello, punchy snare, drums","heavy metal, mysterious, eerie","dance music, rock, trap, rap",strong drumming rhythm,"clapping, e-guitar, cello, punchy snare, drums, heavy metal, mysterious, eerie, dance music, rock, trap, rap, strong drumming rhythm",sample_0082
flat male vocal,"exciting, playful, passionate","techno, classical music","slow, moderate tempo","flat male vocal, exciting, playful, passionate, techno, classical music, slow, moderate tempo",sample_0083
e-guitar,"suspenseful, fun, meditative","alternative rock, electro pop",medium tempo,"e-guitar, suspenseful, fun, meditative, alternative rock, electro pop, medium tempo",sample_0084
piano,"joyful, suspenseful, meditative",danceable,"medium tempo, groovy, medium to uptempo, uptempo, slow tempo, medium fast tempo","piano, joyful, suspenseful, meditative, danceable, medium tempo, groovy, medium to uptempo, uptempo, slow tempo, medium fast tempo",sample_0085
"groovy bass, punchy snare, acoustic guitar","meditative, epic","rock, dance pop, pop","groovy bass lines, rising pattern, groovy bassline, syncopated harmony","groovy bass, punchy snare, acoustic guitar, meditative, epic, rock, dance pop, pop, groovy bass lines, rising pattern, groovy bassline, syncopated harmony",sample_0086
"shimmering shakers, groovy bass line",dreamy,"blues, folk song, chill, rock music, electronic music",medium tempo,"shimmering shakers, groovy bass line, dreamy, blues, folk song, chill, rock music, electronic music, medium tempo",sample_0087
"cello, male vocal, punchy kick, drums, keyboard accompaniment",melancholic,"chill, ballad, soulful",slower to medium tempo,"cello, male vocal, punchy kick, drums, keyboard accompaniment, melancholic, chill, ballad, soulful, slower to medium tempo",sample_0088
"electric guitar, acoustic drums, groovy bass, bass, steady drumming, female vocal, male voice singing","intense, mellow, fun, spiritual, emotional",ambient sounds,"medium to uptempo, uptempo, rhythmic acoustic guitar","electric guitar, acoustic drums, groovy bass, bass, steady drumming, female vocal, male voice singing, intense, mellow, fun, spiritual, emotional, ambient sounds, medium to uptempo, uptempo, rhythmic acoustic guitar",sample_0089
male voice,"playful, people dancing, happy, sad","techno, gospel, electronic music, ballad, orchestral",slow tempo,"male voice, playful, people dancing, happy, sad, techno, gospel, electronic music, ballad, orchestral, slow tempo",sample_0090
"keyboard, male voice, passionate female vocal, flat male vocal, no singer","calming, hypnotic, happy, soothing, funk, mellow, inspiring, intense",electro pop,"slow tempo, afrobeats, medium fast tempo, groovy","keyboard, male voice, passionate female vocal, flat male vocal, no singer, calming, hypnotic, happy, soothing, funk, mellow, inspiring, intense, electro pop, slow tempo, afrobeats, medium fast tempo, groovy",sample_0091
"no voice, keyboard harmony, e-bass",positive,rock music,fast tempo,"no voice, keyboard harmony, e-bass, positive, rock music, fast tempo",sample_0092
"flat male vocal, no voice, tambourine","suspenseful, calm, romantic","electronic music, ambient, pop","groovy rhythm, mid tempo, medium tempo","flat male vocal, no voice, tambourine, suspenseful, calm, romantic, electronic music, ambient, pop, groovy rhythm, mid tempo, medium tempo",sample_0093
"flat male vocal, electric guitar, piano",spiritual,"ambient noises, rock, dance pop, techno, ambient sounds, cinematic",upbeat,"flat male vocal, electric guitar, piano, spiritual, ambient noises, rock, dance pop, techno, ambient sounds, cinematic, upbeat",sample_0094
male vocal,"funky, happy","soul, rapping",slow tempo,"male vocal, funky, happy, soul, rapping, slow tempo",sample_0095
"male voice singing, steady drumming, guitar solo, keyboard",positive,"pop rock, techno, rock, dance pop, gospel, jazz, ballad, cinematic",steady rhythm,"male voice singing, steady drumming, guitar solo, keyboard, positive, pop rock, techno, rock, dance pop, gospel, jazz, ballad, cinematic, steady rhythm",sample_0096
"trumpets, bass, clapping","chaotic, sad","electronic, pop rock, hip hop, folk, soul, western classical music, movie music, reggae, dance song, dance music, danceable, rock, r&b",moderate tempo,"trumpets, bass, clapping, chaotic, sad, electronic, pop rock, hip hop, folk, soul, western classical music, movie music, reggae, dance song, dance music, danceable, rock, r&b, moderate tempo",sample_0097
male voice,"soothing, mellow",electronic music,"rhythmic patter, groovy double bass, slow to medium tempo","male voice, soothing, mellow, electronic music, rhythmic patter, groovy double bass, slow to medium tempo",sample_0098
keyboard,emotional,"folk music, hip hop, cinematic, techno, country music, folk song, electro pop, dance song","rising pattern, rhythmic beat, medium tempo","keyboard, emotional, folk music, hip hop, cinematic, techno, country music, folk song, electro pop, dance song, rising pattern, rhythmic beat, medium tempo",sample_0099
"groovy bass, claps, electric guitar, shimmering cymbals, percussion","passionate, sentimental, happy",jazz,"fast tempo, slow to medium tempo","groovy bass, claps, electric guitar, shimmering cymbals, percussion, passionate, sentimental, happy, jazz, fast tempo, slow to medium tempo",sample_0100
"male vocal, bass, piano, punchy snare, female vocal, strings",uplifting,"dance music, electronic dance music, ambient, rapping","dance rhythm, slow rock","male vocal, bass, piano, punchy snare, female vocal, strings, uplifting, dance music, electronic dance music, ambient, rapping, dance rhythm, slow rock",sample_0101
"keyboard accompaniment, orchestra, shimmering shakers, male voice, groovy bass, keyboard harmony","mysterious, ethereal, calming","jazz, country, classical music, dance song","medium fast tempo, slow to medium tempo, slow tempo, groovy piano chords, slower tempo","keyboard accompaniment, orchestra, shimmering shakers, male voice, groovy bass, keyboard harmony, mysterious, ethereal, calming, jazz, country, classical music, dance song, medium fast tempo, slow to medium tempo, slow tempo, groovy piano chords, slower tempo",sample_0102
"acoustic guitar, acoustic drums, male vocalist","eerie, psychedelic","jazz, hip hop, techno, pop song, indie, dance music",groovy synth bass,"acoustic guitar, acoustic drums, male vocalist, eerie, psychedelic, jazz, hip hop, techno, pop song, indie, dance music, groovy synth bass",sample_0103
guitar,energetic,"electronic music, gospel, country music, ambient","medium tempo, syncopated rhythms, groovy","guitar, energetic, electronic music, gospel, country music, ambient, medium tempo, syncopated rhythms, groovy",sample_0104
no singer,passionate,western classical music,groovy,"no singer, passionate, western classical music, groovy",sample_0105
male vocal,"mellow, eerie, sensual, aggressive",gospel,moderate tempo,"male vocal, mellow, eerie, sensual, aggressive, gospel, moderate tempo",sample_0106
"female vocal, punchy snare, no singer","passionate, melancholic, nostalgic, intense, inspiring","country, trap, jazz, hip hop, classical, house, danceable",slow,"female vocal, punchy snare, no singer, passionate, melancholic, nostalgic, intense, inspiring, country, trap, jazz, hip hop, classical, house, danceable, slow",sample_0107
piano,"poignant, chaotic","gospel, rock","uptempo, groovy","piano, poignant, chaotic, gospel, rock, uptempo, groovy",sample_0108
percussion,"melancholic, soft, hard rock","danceable, trap, chill, house, meditation, jazz, dance pop, dance music, ambient sounds, hip hop","acoustic rhythm guitar chords, groovy bassline, afrobeat","percussion, melancholic, soft, hard rock, danceable, trap, chill, house, meditation, jazz, dance pop, dance music, ambient sounds, hip hop, acoustic rhythm guitar chords, groovy bassline, afrobeat",sample_0109
"punchy snare, male voice singing",calming,"indie, trance",beat boxing,"punchy snare, male voice singing, calming, indie, trance, beat boxing",sample_0110
"strings, flute, punchy kick","joyful, calming, energetic, intense","pop, rock, dance music, ambient noises, chill, blues",groovy,"strings, flute, punchy kick, joyful, calming, energetic, intense, pop, rock, dance music, ambient noises, chill, blues, groovy",sample_0111
groovy bass,eerie,"trance, classical","medium tempo, rhythm, medium fast tempo","groovy bass, eerie, trance, classical, medium tempo, rhythm, medium fast tempo",sample_0112
"trumpets, groovy bass, piano","passionate, mellow, positive, emotional, joyful, sensual, chaotic, suspenseful, intense","techno, pop song","moderate tempo, slow tempo, beat boxing","trumpets, groovy bass, piano, passionate, mellow, positive, emotional, joyful, sensual, chaotic, suspenseful, intense, techno, pop song, moderate tempo, slow tempo, beat boxing",sample_0113
no voice,nostalgic,country,medium tempo,"no voice, nostalgic, country, medium tempo",sample_0114
drums,"happy, sad, exciting, emotional, mellow","indie, western classical music",afrobeats,"drums, happy, sad, exciting, emotional, mellow, indie, western classical music, afrobeats",sample_0115
no voice,"passionate, joyful, energetic",r&b,groovy synth bass,"no voice, passionate, joyful, energetic, r&b, groovy synth bass",sample_0116
piano accompaniment,people dancing,ambient noises,strong drumming rhythm,"piano accompaniment, people dancing, ambient noises, strong drumming rhythm",sample_0117
steady drumming,"emotional, ethereal",blues,groovy piano chords,"steady drumming, emotional, ethereal, blues, groovy piano chords",sample_0118
"electric guitar, e-guitar, piano, male voice singing","joyful, hard rock, emotional, passionate",ballad,medium tempo,"electric guitar, e-guitar, piano, male voice singing, joyful, hard rock, emotional, passionate, ballad, medium tempo",sample_0119
"male singer, percussion, piano accompaniment","meditative, romantic, passionate","soul, electro pop, classical music, rock, electronic music, rapping, r&b, folk song, hip hop, jazz","slow tempo, groovy piano chords","male singer, percussion, piano accompaniment, meditative, romantic, passionate, soul, electro pop, classical music, rock, electronic music, rapping, r&b, folk song, hip hop, jazz, slow tempo, groovy piano chords",sample_0120
"cello, tambourine","fun, spiritual",techno,rhythmic acoustic guitar,"cello, tambourine, fun, spiritual, techno, rhythmic acoustic guitar",sample_0121
"no voices, violin","exciting, sentimental, joyful, inspiring","dance pop, ambient, dance music",groovy,"no voices, violin, exciting, sentimental, joyful, inspiring, dance pop, ambient, dance music, groovy",sample_0122
