fname,ytid,aspect_list,caption_ground_truth,caption_writing,caption_summary,caption_paraphrase,caption_attribute_prediction,pseudo_attribute,is_crawled,author_id,start_s,end_s,audioset_positive_labels,is_balanced_subset,is_audioset_eval,filename,clap_score,fad_score
[yYpfb_xV--4]-[20-30],yYpfb_xV--4,"['middle eastern folk music' 'low quality audio' 'percussion' 'shaker'
 'stringed instrument' 'moderate tempo' 'male voice']",This Middle eastern folk song features a male singer singing the main melody. This is accompanied by percussion playing a simple beat. A stringed instrument plays the backing melody. A shaker plays in an eight note pattern. This song can be played at a village fair.,"This Middle Eastern folk song features low quality audio, percussion, shaker, a stringed instrument, and a moderate tempo with a captivating male voice that transports you to the heart of the desert.","A middle eastern folk song with moderate tempo and male vocals accompanied by percussion, shaker, and stringed instruments, recorded low quality.","Amidst the delicately strung chords and rhythmic percussions of this Middle Eastern folk gem, a humble male voice serenades through lo-fi audio, as a shaker accompanies one on a journey of moderate tempo.","This Middle Eastern folk song features a low quality audio that transports you to the streets of the bazaar. The percussion, shaker, and tabla create a hypnotic rhythm that is further complemented by the soothing stringed instrument, the oud. The moderate tempo sets the perfect mood for the male voice that sings in call and response vocals with a calming flute. It's a song that takes you on a spiritual journey.",['flute' 'oud' 'tabla' 'call and response vocals'],True,0,20,30,"/m/02w4v,/m/04rlf,/m/05r5wn",False,False,yYpfb_xV--4.wav,0.21244871616363525,1.1095592862564758
[IhNPDueFVSo]-[50-60],IhNPDueFVSo,"['raspy male voice' 'speaking' 'dance song' 'upbeat' 'funky'
 'complex fast drum beat' 'chanting male background vocal'
 'screaming female background vocal']","The clip has no melodic instruments. It is mainly built of a complex persuasive rhythm played on the drums, and a repeated phrase by a male speaker in a raspy vocal. In the background, we have a soulful male voice chanting the same phrase repeatedly, and a female screaming voice once roughly every two bars.","This dance song is an upbeat, funky track with a complex fast drum beat and a raspy male voice casually speaking over the chanting male background vocal and screaming female background vocal.","An upbeat dance song with complex fast drum beats, funky raspy male vocals speaking over chanting male background vocals and screaming female vocals.","Get ready to groove with an upbeat, funky dance song boasting a complex and fast drum beat, complementing the raspy male voice effortlessly delivering spoken words. The chanting male background vocal and screaming female background vocal add depth to this electrifying track.","A funky dance song with an upbeat tempo driven by a complex fast drum beat and accompanied by a chanting male background vocal. The raspy male voice delivers powerful spoken verses while a screaming female background vocal adds an edgy feel. The synth bass and electric guitar riff add depth and dimension, while clapping provides an infectious rhythm that makes it impossible to resist moving to this highly energetic track. ",['synth bass' 'clapping' 'electric guitar riff'],True,3,50,60,"/m/026z9,/m/04rlf",False,False,IhNPDueFVSo.wav,0.4710310101509094,1.214651156087561
[2Q20hVyYjBM]-[30-40],2Q20hVyYjBM,"['male singer' 'slow tempo' 'foreign language' 'world music'
 'country music' 'acordion accompaniment' 'vocal emphasis' 'dutch'
 'folk song' 'pop' 'folk pop' 'regional music' 'metallic clicking sound']","A male vocalist sings this passionate song in Dutch. The tempo is slow with vocal emphasis and an accordion harmony. The song is a simple, narrative, slow Folk song.","This hauntingly beautiful folk pop song, sung in Dutch by a male singer, incorporates accordion accompaniment and features a slow tempo with a vocal emphasis and metallic clicking sounds, making it a unique and captivating blend of world music, country music, and regional folk traditions.","A slow-tempo Dutch folk pop song with metallic clicking sound and accordion accompaniment, featuring a male singer with vocal emphasis and world music influences.","A soulful male vocalist sings a haunting Dutch folk-pop ballad in a slow tempo, with the accordion's mournful strains and metallic clicking providing the perfect accompaniment. The vocal emphasis adds emotional depth to this unique blend of world and country music, creating a mesmerizing example of regional folk-pop at its finest.","This Dutch folk pop song is driven by a haunting accordion accompaniment and metallic clicking sound. The male singer's emotive vocals emphasize the melancholic tone of the slow tempo, foreign language lyrics. With elements of both world and country music, this regional folk song takes listeners on a journey through a lyrical storytelling landscape. The upbeat chorus adds a pop sensibility to the otherwise traditional folk sound, highlighting the use of folk instruments throughout the track.","['folk instruments' 'melancholic tone' 'upbeat chorus'
 'lyrical storytelling']",True,7,30,40,/m/0mkg,False,False,2Q20hVyYjBM.wav,0.5264049768447876,1.0216990000206665
[GuHDy--gWiM]-[30-40],GuHDy--gWiM,"['low quality' 'folk' 'live performance' 'wide clapping' 'crowd noises'
 'steel guitar solo melody' 'acoustic rhythm guitar melody' 'groovy bass'
 'punchy snare' 'shimmering cymbals' 'electric guitar melody'
 'violin melody' 'passionate' 'uptempo' 'soulful' 'energetic']","The low quality recording features a live performance of a folk song and it contains a steel guitar solo melody played over, acoustic rhythm guitar, electric guitar melody, shimmering cymbals, punchy snare, groovy bass, followed by violin melody, crowd noises and claps. It sounds passionate, uptempo, soulful and energetic.","This live performance of a folk song has a raw and low-quality feel with the sound of the wide clapping and boisterous crowd mixed in, but the groovy bass, punchy snare, and shimmering cymbals keep the uptempo and soulful energy going as the acoustic rhythm guitar melody and passionate vocals are accented by a steel guitar solo melody, electric guitar melody, and even a violin melody.","The low quality live folk performance with wide clapping and crowd noises features a soulful, passionate and energetic blend of acoustic and electric guitar melodies, groovy bass, punchy snare, and shimmering cymbals, accompanied by a steel guitar solo and violin melody.","Experience the soulful and energetic live performance of a low-quality folk song with a groovy bass, punchy snare, and shimmering cymbals, accompanied by wide clapping and crowd noises, while being mesmerized by the acoustic rhythm guitar and steel guitar solo melodies, electrifying electric guitar melody, and emotionally charged violin melody.","This live performance of a soulful folk song brings the audience into the mix with wide clapping and engaging hand drums. The groovy bass and punchy snare create a deeply energetic and uptempo feel, while the shimmering cymbals add a touch of sophistication. The acoustic rhythm guitar melody and steel guitar solo melody lay the foundation for the passionate electric guitar and soulful violin melodies to soar. The harmonica and saxophone solos bring surprising and emotive moments to the song, and the overall live feel is emphasized by the crowd noises and audience participation.",['audience participation' 'hand drums' 'harmonica' 'saxophone'],True,4,30,40,"/m/018j2,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y",False,False,GuHDy--gWiM.wav,0.5173009634017944,0.9790037757355408
[0J_2K1Gvruk]-[30-40],0J_2K1Gvruk,"['cello music' 'bass' 'hand claps' 'shaker' 'kick drum' 'cello harmony'
 'moderate tempo' 'no voices' 'instrumental' 'happy mood' 'music build-up']",This song features two cellos playing a melody in harmony. This is accompanied by hand claps on every alternate count of the bars. The bass plays the root notes of the chords. The kick drum is played at the intro. There are no voices in this song. This is an instrumental song with a happy feel. This song can be played in a luxury advertisement.,"A vibrant instrumental composition featuring various elements including the rich tones of cello music blended with a grooving bassline, energetic hand claps, rhythmic shaker, and a pulsating kick drum, creating a dynamic and enchanting atmosphere. With a moderate tempo, the cello harmonies take center stage, gradually building up the music with a happy mood that brings a sense of joy and excitement, while maintaining an entirely instrumental and voiceless experience.","An upbeat instrumental track driven by rhythmic cello harmonies, a groovy bassline, hand claps, and a shaker, with a moderate tempo and a cheerful atmosphere that progressively builds up into a joyful culmination.","This instrumental song showcases the enchanting harmonies of the cello, accompanied by the rhythmic and melodic support of bass, hand claps, shaker, and kick drum, creating a moderate tempo composition that gradually builds up. With no voices present, the focus purely lies on the expressive power of the cello music, encapsulating a joyous and uplifting mood throughout.","This instrumental song creates a joyful and lively atmosphere through the harmonious blend of cello music, bass, hand claps, shaker, and kick drum. The cello harmony adds depth and richness to the moderate tempo, while the absence of voices allows the instrumental elements to shine. As the music builds up, additional attributes such as violin, upbeat guitar, and snare drum enhance the overall happy mood, making it a perfect choice for uplifting moments.",['violin' 'upbeat guitar' 'snare drum'],False,0,30,40,"/m/01xqw,/m/02fsn,/m/0l14_3",False,False,0J_2K1Gvruk.wav,0.4102465808391571,0.9662840253311828
[3zPvfVmL0nE]-[550-560],3zPvfVmL0nE,"['rock&roll' 'acoustic drums' 'e-guitar' 'tambourine' 'organ'
 'medium to uptempo']",This audio contains someone playing a drum with a big kick drum and snare sound playing cymbals along with a tambourine. In the background you can hear an electric organ playing long minor chords while a distorted e-guitar is playing a solo sounding as someone singing. This song may be playing live at a festival.,"Get ready to groove to this medium to uptempo rock&roll track featuring electrifying e-guitar solos, driving acoustic drums, soulful organ riffs, and an infectious tambourine beat that'll keep you dancing all night long!","This energetic rock&roll song features acoustic drums, e-guitar, tambourine, organ and a medium to uptempo beat.","Get ready to sway to the electrifying sounds of our upbeat rock&roll anthem, featuring the soulful strumming of acoustic drums and e-guitar, infused with the infectious beats of tambourine and organ for a medium to uptempo rhythm that'll keep you moving all night long.","This upbeat, rock&roll anthem features driving acoustic drums and e-guitar, accompanied by a lively tambourine and groovy organ. The medium to uptempo tempo keeps the energy high, with the addition of electric bass and distorted guitar adding depth and edge. A standout harmonica solo takes center-stage, elevating the song to new heights.",['electric bass' 'distorted guitar' 'harmonica'],True,6,550,560,"/m/05r6t,/m/06by7",False,False,3zPvfVmL0nE.wav,0.5166296362876892,1.1728955394226745
[0M7nETLOsKQ]-[30-40],0M7nETLOsKQ,"['pop' 'passionate male vocal' 'mellow piano chords' 'emotional'
 'passionate' 'mellow' 'soft']","The Pop song features a passionate male vocal singing over mellow piano chords. It sounds passionate, emotional, mellow and soft.","This pop ballad features a passionate male vocal accompanied by mellow piano chords, creating an emotional and steamy atmosphere that is both passionate and mellow with soft touches throughout the verses.","A pop ballad with a passionate male vocal, mellow piano chords, and emotional themes of love and heartbreak delivered through a mix of passionate and soft vocals.","Experience a moving pop ballad with the heartfelt and emotional vocals of a passionate male artist, accompanied by the gentle and mellow tones of an intricate piano arrangement, delivering a soft and passionate experience that will tug at your heartstrings.","This pop ballad features a passionate male vocal, mellow piano chords, and emotional lyrics that tug at the heartstrings. The catchy chorus and acoustic guitar strums add to the passionate and mellow vibe of the song. Get ready to get lost in the soft and soul-stirring melody.",['heartfelt lyrics' 'catchy chorus' 'acoustic guitar strums'],True,4,30,40,"/m/04rlf,/m/0gywn",False,False,0M7nETLOsKQ.wav,0.5004656910896301,1.0632848030525879
[ZOGMpGQQ3FI]-[30-40],ZOGMpGQQ3FI,"['electric guitar' 'live performance' 'chord arpeggios'
 'warm sounding guitar tone' 'poor audio quality'
 'soothing and gentle music' 'peaceful']","This is the live performance of an electric guitarist. The chords are arpeggiated and the guitar has effects applied to it to produce a warm and rich tone. The song is calm and peaceful, and would be suitable for a tranquil afternoon walk at the park.","This live performance showcases the soothing and gentle music of an electric guitar played with warm sounding tones and intricate chord arpeggios, despite the poor audio quality, that have a peaceful effect on the listener.","The live performance of the soothing and gentle music with chord arpeggios played on electric guitar and warm sounding guitar tone was marred by poor audio quality, yet the overall effect was peaceful.","Experience a soothing and peaceful live performance where warm electric guitar chords are strummed gently amidst creative arpeggios, delivering a sound that feels familiar and comforting despite the poor audio quality.","This live performance featuring an electric guitar with warm sounding tones and chord arpeggios is accompanied by the soothing and gentle music from an acoustic guitar with skillful fingerpicking and delicate harmonics. Despite the poor audio quality, the peaceful ambiance of the music will transport you to a place of solace and tranquility.",['acoustic guitar' 'fingerpicking' 'harmonics'],True,3,30,40,"/m/01glhc,/m/0342h,/m/04rlf,/m/04szw,/m/07m2kt,/m/0fx80y",False,False,ZOGMpGQQ3FI.wav,0.486507385969162,1.0223700291115478
[ZzyWbehtt0M]-[30-40],ZzyWbehtt0M,"['low quality' 'country blues' 'vintage' 'noisy' 'fruity male vocal'
 'groovy electric guitar melodies' 'groovy bass' 'shimmering cymbals'
 'mellow snare' 'soft kick hits' 'clapping' 'uptempo' 'groovy'
 'passionate' 'cool']","The low quality recording features a country blues song that consists of fruity male vocal singing over groovy electric guitar melodies, groovy bass, shimmering cymbals, mellow snare, soft kick hits and clapping. The recording is a bit noisy, as it is vintage, and it sounds passionate, groovy, uptempo and cool.","This low-quality country blues song has a vintage feel with a noisy and gritty edge, featuring a fruity male vocal and groovy electric guitar melodies along with a groovy bass line and shimmering cymbals, all joined together with a mellow snare and soft kick hits that get your toes tapping and your hands clapping to the uptempo, groovy beat, filling you with a passionate cool.","This vintage country blues song with groovy electric guitar melodies, fruity male vocals, and shimmering cymbals is low quality yet passionate and cool with groovy bass, mellow snare and soft kick hits, and clapping giving it a noisy, uptempo and mellow feel.","A vintage, low-fi country blues track with a noisy and groovy electric guitar melody, groovy bass, shimmering cymbals, mellow snare, soft kick hits, clapping, and a fruity male vocal that evokes passion and coolness while staying uptempo and mellow.","This country blues vintage jam is loud and noisy with a fruity male vocal. Groovy electric guitar melodies are backed by a groovy bass and accompanied by shimmering cymbals, mellow snare hits and soft kick hits. Clapping adds to the uptempo, groovy feel of the song while slide guitar, honky-tonk piano and harmonica add a passionate and cool vibe.",['slide guitar' 'honky-tonk piano' 'harmonica'],True,4,30,40,"/m/0155w,/m/015lz1,/m/015y_n,/m/01lyv,/m/04rlf,/m/06j6l,/m/0g293",False,False,ZzyWbehtt0M.wav,0.5607501268386841,1.0400267726380066
[dcY062mkf9g]-[130-140],dcY062mkf9g,"['pop song' 'slow song' 'female voice' 'keyboard' 'cello' 'slow tempo'
 'relaxing' 'no percussion' 'minimal instruments' 'calming voice']",This slow pop song features a female voice singing the main melody. This is accompanied by a keyboard playing the chords in the background. The cello plays the low end notes. The voice has a calming tone. There is no percussion in this song. This song can be played in a dream sequence in a movie.,"This pop song features a slow tempo and minimal instruments like only keyboard and cello, creating a relaxing and calming atmosphere that showcases the soothing female voice. The absence of percussion adds to the serene vibe of this slow song.","A calming pop ballad sung by a female voice accompanied by a soothing blend of keyboard and cello, with minimal percussion and slow tempo.","This captivating pop ballad features a slow tempo and a tranquil female voice accompanied by the dreamy sounds of a keyboard and cello, allowing for a minimalistic approach with no percussion as the gentle melody washes over you, creating a deeply calming atmosphere that is perfect for relaxation.",A pop song with a slow tempo featuring a calming female voice accompanied by a keyboard and cello with minimal instruments. The song is relaxing and has no percussion. The addition of the piano and violin gives the song a gentle and soothing quality.,['piano' 'violin'],True,0,130,140,"/m/01xqw,/m/02fsn,/m/0l14_3",False,False,dcY062mkf9g.wav,0.45375025272369385,1.1736816054779724
