aspect_list,original_aspect_list,temperature,generated_tempo_tags,generated_genre_tags,generated_mood_tags,generated_instrument_tags,id
"['emotional', 'gospel', 'melancholic', 'piano', 'romantic', 'slow tempo']","['drums', 'bass', 'guitar', 'funk', 'strings', 'keyboard', 'jazz', 'violin', 'piano']",0.5,['slow tempo'],['gospel'],"['melancholic', 'emotional', 'romantic']",[],268454ec38ce4e59ebe1cd6dadb7ebf7
"['electronic drums', 'energetic', 'house', 'hypnotic', 'upbeat']","['violin', 'dance', 'house', 'energetic']",1.0,['upbeat'],[],"['hypnotic', 'energetic']",['electronic drums'],cd3b7bf5276ffe5feeb194647b9b2600
"['cheerful', 'dance music', 'drums', 'epic', 'fast tempo', 'groovy', 'happy', 'no voices', 'percussion', 'trumpets']","['electronic', 'drums', 'bass', 'funk']",1.25,"['fast tempo', 'groovy']",['dance music'],"['happy', 'cheerful', 'epic']","['trumpets', 'percussion', 'no voices']",9c099726b4960b8939c495b5b149c33b
"['ballad', 'e-guitar', 'epic', 'male voice', 'moderate tempo', 'percussion', 'uplifting']","['emotional', 'piano', 'classical']",1.5,['moderate tempo'],['ballad'],"['epic', 'uplifting']","['e-guitar', 'percussion', 'male voice']",1e1969ded7c1c2f34fe5ccf078421aba
"['chaotic', 'dance', 'drums', 'electronic drums', 'energetic', 'exciting', 'fun', 'happy', 'sensual', 'upbeat']","['dance', 'happy', 'pop', 'guitar']",1.0,['upbeat'],[],"['energetic', 'exciting', 'fun', 'chaotic', 'happy', 'sensual']","['drums', 'electronic drums']",91101e9907788a7b32ee43734e2ade2a
"['energetic', 'folk', 'medium fast tempo', 'percussion', 'reggae', 'rock']","['energetic', 'drums', 'funk', 'indie', 'happy']",1.5,['medium fast tempo'],"['folk', 'rock', 'reggae']",[],['percussion'],a0353f4da35b179a4bc0e133225959d7
"['emotional', 'flat male vocal', 'groovy bass', 'passionate', 'passionate male vocal', 'piano', 'slow tempo', 'soulful']",[],2.0,['slow tempo'],['soulful'],"['emotional', 'passionate']","['groovy bass', 'passionate male vocal', 'piano', 'flat male vocal']",0c67bf7c8dd19e5ff307801617945032
"['groovy', 'happy', 'pop', 'punchy kick']","['dance', 'drums', 'pop', 'energetic']",0.75,['groovy'],[],['happy'],['punchy kick'],afaa196d0bbfeaa885f911a1c838c2af
"['emotional', 'flat male vocal', 'hip hop', 'no voice', 'slow tempo']","['emotional', 'piano', 'classical']",2.0,['slow tempo'],['hip hop'],['emotional'],"['flat male vocal', 'no voice']",479d8eb7384deb7c35569cc065ecff8d
"['bass', 'heavy metal', 'medium tempo', 'pop song']","['energetic', 'drums', 'bass', 'guitar', 'jazz']",1.25,['medium tempo'],['pop song'],['heavy metal'],[],73af58f7394c3e2363f4c37d3ba81098
"['electronic dance music', 'exciting', 'groovy bass line', 'latin dance music', 'male singer', 'medium tempo', 'rock music']",[],2.0,['medium tempo'],"['rock music', 'latin dance music', 'electronic dance music']",['exciting'],"['male singer', 'groovy bass line']",519a23d4cb1cea0512a48e465c2a933d
"['blues', 'dance', 'guitar', 'meditation', 'no voices', 'slow tempo', 'soothing', 'uptempo']","['energetic', 'drums', 'rock', 'guitar']",0.75,"['slow tempo', 'uptempo']","['dance', 'blues', 'meditation']",['soothing'],['no voices'],3822b85568a57fbcfdb30307fdd56725
"['classical', 'groovy', 'passionate', 'punchy snare', 'uptempo']","['emotional', 'piano', 'classical']",0.5,"['uptempo', 'groovy']",['classical'],['passionate'],['punchy snare'],95f0b8b4b4e6a590a59c1caf2f727b75
"['blues', 'cheerful', 'emotional', 'flat male vocal', 'groovy', 'happy', 'medium tempo', 'passionate', 'pop', 'slow tempo']","['piano', 'happy', 'classical']",1.25,"['groovy', 'medium tempo', 'slow tempo']","['blues', 'pop']","['emotional', 'happy', 'passionate', 'cheerful']",['flat male vocal'],4c55c6fe15a7b079133e60b5b2aebc95
"['dance', 'drums', 'exciting', 'slow tempo', 'uptempo']","['energetic', 'drums', 'bass', 'rock']",0.75,"['slow tempo', 'uptempo']",['dance'],['exciting'],[],68d6235f400ad2cd39a5a5c32b5929e5
"['classical', 'no voices', 'passionate', 'percussion', 'uptempo']","['electronic', 'emotional', 'piano', 'classical']",1.0,['uptempo'],[],['passionate'],"['no voices', 'percussion']",cd725ba8e5a618b361006c0babdb6503
"['acoustic guitar', 'ambient sounds', 'digital drums', 'emotional', 'romantic', 'slower tempo']","['energetic', 'bass', 'rock']",0.5,['slower tempo'],['ambient sounds'],"['romantic', 'emotional']","['acoustic guitar', 'digital drums']",58887f0ac21ef4ab9e1ea1c9ff1d45a8
"['acoustic guitar', 'energetic', 'latin dance music', 'medium tempo']",[],2.0,['medium tempo'],['latin dance music'],['energetic'],['acoustic guitar'],ef30807b66160f31c3099c55b15a4b0c
"['classical', 'emotional', 'medium tempo', 'orchestra', 'violin']","['drums', 'bass', 'electronic', 'classical', 'emotional', 'violin', 'piano']",0.75,['medium tempo'],[],['emotional'],['orchestra'],e4ce487ca3745a76fbf5a266f617041a
"['bass', 'happy', 'rock', 'slow tempo']","['drums', 'bass', 'dance', 'funk', 'keyboard', 'happy']",1.25,['slow tempo'],['rock'],[],[],639dcff5f32e1e4c8b4243e57dfcf80b
"['bass', 'electric guitar', 'electronic drums', 'female voice', 'guitar solo', 'intense', 'medium tempo', 'no voices', 'slow tempo', 'trap', 'uptempo']","['emotional', 'drums', 'bass', 'rock']",1.0,"['slow tempo', 'medium tempo', 'uptempo']",['trap'],['intense'],"['guitar solo', 'electronic drums', 'electric guitar', 'no voices', 'female voice']",abc42b6d0a094f4c3cfdf622e83536fe
"['fun', 'gospel', 'guitar', 'medium fast tempo', 'pop', 'spiritual']","['drums', 'bass', 'guitar', 'electronic', 'rock', 'emotional', 'pop', 'indie']",1.0,['medium fast tempo'],['gospel'],"['fun', 'spiritual']",[],aca62ef4f1b95e318ee3db7135dda927
"['bass', 'dark', 'digital drums', 'eerie', 'electronic drums', 'moderate tempo', 'no voice', 'no voices', 'techno']","['drums', 'bass', 'dance', 'keyboard', 'happy']",1.5,['moderate tempo'],['techno'],"['eerie', 'dark']","['electronic drums', 'digital drums', 'no voices', 'no voice']",27a33661e361b1089da1984e665dac4f
"['calming', 'dreamy', 'flat male vocal', 'hip hop', 'no percussion', 'no voice', 'uptempo']","['pop', 'funk', 'guitar']",0.5,['uptempo'],['hip hop'],"['dreamy', 'calming']","['no voice', 'flat male vocal', 'no percussion']",6c5eff67e1eafc1a03d48a1939fc949a
"['bass guitar', 'drums', 'emotional', 'energetic', 'indie', 'medium tempo', 'spiritual', 'weird']","['drums', 'bass', 'rock', 'emotional', 'indie']",1.25,['medium tempo'],[],"['emotional', 'energetic', 'spiritual', 'weird']",['bass guitar'],a4b533bbb14756777b8dab5f08e25853
"['emotional', 'groovy', 'groovy bass line', 'jazz', 'male vocalist', 'passionate', 'r&b', 'romantic', 'soul']","['happy', 'pop', 'piano']",2.0,['groovy'],"['jazz', 'r&b', 'soul']","['passionate', 'emotional', 'romantic']","['male vocalist', 'groovy bass line']",0af96697abc3bb8eebd1a9118451d771
"['classical', 'emotional', 'epic', 'fast tempo', 'medium to uptempo', 'orchestra', 'passionate']","['emotional', 'violin', 'orchestral', 'classical']",0.5,"['fast tempo', 'medium to uptempo']",[],"['passionate', 'emotional', 'epic']",['orchestra'],f486576a42f72633c0199265d69a8648
"['flute', 'groovy', 'jazz', 'sentimental', 'slow tempo']",[],2.0,"['slow tempo', 'groovy']",['jazz'],['sentimental'],['flute'],e73e16eb1e022e3129f5f936dd8c89e4
"['dance', 'gospel', 'happy', 'keyboard', 'upbeat']","['drums', 'bass', 'dance', 'funk', 'keyboard', 'happy']",0.5,['upbeat'],"['gospel', 'dance']",[],[],b410bcb6180f8363f638f0ff3e4c9b4f
"['cinematic', 'electronic drums', 'passionate', 'piano', 'romantic', 'slow tempo']","['energetic', 'bass', 'rock']",2.0,['slow tempo'],['cinematic'],"['passionate', 'romantic']","['piano', 'electronic drums']",05203abb929145ad28029a3d7064c3f2
"['ambient noises', 'exciting', 'male singer', 'slow tempo']",[],2.0,['slow tempo'],['ambient noises'],['exciting'],['male singer'],2c8e621c4294086780be4d60cdbe7afb
"['electronic music', 'movie music', 'no voice', 'orchestra', 'romantic', 'slow tempo', 'strings']",[],2.0,['slow tempo'],"['electronic music', 'movie music']",['romantic'],"['strings', 'orchestra', 'no voice']",e96b62b3f84e31e0f4d94bde7a4ed31c
"['cello', 'emotional', 'piano', 'pop', 'punchy kick', 'punchy snare', 'shimmering cymbals', 'slow tempo', 'strings', 'uptempo']","['dance', 'pop', 'keyboard', 'energetic']",1.25,"['slow tempo', 'uptempo']",[],['emotional'],"['strings', 'cello', 'punchy snare', 'punchy kick', 'piano', 'shimmering cymbals']",1f75d173f1a2f32c47174001414dedbf
"['bass', 'fast tempo', 'heavy metal', 'keyboard harmony', 'passionate', 'percussion', 'rock']","['drums', 'bass', 'rock', 'emotional', 'keyboard', 'indie']",1.0,['fast tempo'],[],"['heavy metal', 'passionate']","['keyboard harmony', 'percussion']",e9664d0d9acfeb3811723b00042c0010
"['country music', 'electronic drums', 'medium to uptempo', 'no singer', 'weird']","['emotional', 'piano', 'classical']",0.5,['medium to uptempo'],['country music'],['weird'],"['no singer', 'electronic drums']",fbdeb4fee311a61f924742e043a1c116
"['bass', 'danceable', 'electronic drums', 'energetic', 'joyful', 'percussion', 'upbeat']","['energetic', 'drums', 'bass', 'emotional', 'jazz', 'piano']",1.25,['upbeat'],['danceable'],['joyful'],"['percussion', 'electronic drums']",2a51cc915e97650c3c7768bdf7875b34
"['ballad', 'bass guitar', 'romantic', 'slow tempo']",[],2.0,['slow tempo'],['ballad'],['romantic'],['bass guitar'],5077f5a5a514743af267ee7e08721c43
"['bass', 'emotional', 'fast tempo', 'intense', 'no voices', 'passionate', 'pop', 'sad']","['energetic', 'drums', 'bass', 'rock', 'pop']",0.5,['fast tempo'],[],"['passionate', 'intense', 'sad', 'emotional']",['no voices'],fd9a3f394ee07691d877774566ee7566
"['ambient', 'bass', 'calming', 'emotional', 'intense', 'slow tempo']","['drums', 'bass', 'guitar', 'rock', 'emotional', 'pop', 'ambient', 'piano']",0.75,['slow tempo'],[],"['calming', 'intense', 'emotional']",[],8e1720d920f1b4fe43b6570c8262b66c
"['bass', 'blues', 'emotional', 'guitar solo', 'indie', 'jazz', 'medium tempo', 'no singer', 'slow tempo']","['energetic', 'drums', 'bass', 'rock', 'indie']",0.5,"['medium tempo', 'slow tempo']","['jazz', 'blues']",['emotional'],"['no singer', 'guitar solo']",e9777953c3fd240f67345ceaeeff1dce
"['drums', 'energetic', 'fast tempo', 'rock', 'slow tempo', 'uptempo']","['drums', 'bass', 'funk', 'rock', 'pop']",1.25,"['uptempo', 'slow tempo', 'fast tempo']",[],['energetic'],[],71eb90a025d644d1d374d3ecf1da23c9
"['ambient', 'eerie', 'groovy bass', 'no voices', 'slow tempo', 'upbeat']","['ambient', 'emotional', 'orchestral', 'piano']",0.5,"['slow tempo', 'upbeat']",[],['eerie'],"['groovy bass', 'no voices']",b4f4da37401786a57733aeefac609888
"['classical', 'joyful', 'orchestra', 'passionate', 'shimmering cymbals', 'soft', 'uptempo']","['electronic', 'emotional', 'piano', 'classical']",2.0,['uptempo'],[],"['passionate', 'joyful', 'soft']","['shimmering cymbals', 'orchestra']",8783e63659330b154bf6828d2a87efb7
"['drums', 'funky', 'medium to uptempo', 'reggae', 'trumpets']","['emotional', 'piano', 'classical']",0.75,['medium to uptempo'],['reggae'],['funky'],"['drums', 'trumpets']",1f9d7ae2d85d3d5d7bc916344f9f77ea
"['digital drums', 'electronic', 'electronic drums', 'energetic', 'flute', 'guitar', 'uptempo']","['electronic', 'happy', 'pop', 'piano']",1.25,['uptempo'],[],['energetic'],"['digital drums', 'electronic drums', 'flute', 'guitar']",dd0859c087edfce66fe0d3927d3d273a
"['electronic music', 'energetic', 'fast tempo', 'guitar solo', 'hip hop']","['emotional', 'pop', 'piano']",1.0,['fast tempo'],"['electronic music', 'hip hop']",['energetic'],['guitar solo'],7a9115d3ac2f51e600b4768bb62b0574
"['bass', 'cinematic', 'eerie', 'intense', 'male voice', 'moderate tempo']","['energetic', 'drums', 'pop', 'bass']",2.0,['moderate tempo'],['cinematic'],"['intense', 'eerie']",['male voice'],427764a2dafb20c89b50f4b0b28dc555
"['dance', 'drums', 'funky', 'playful', 'trumpets', 'uptempo']","['drums', 'bass', 'funk', 'keyboard', 'jazz', 'violin', 'piano']",1.5,['uptempo'],['dance'],"['playful', 'funky']",['trumpets'],229d00ca2d2d4c53dae2c76284af8a4e
"['dance', 'digital drums', 'exciting', 'meditation', 'medium tempo', 'rhythm', 'techno']","['electronic', 'dance', 'energetic', 'piano']",2.0,"['medium tempo', 'rhythm']","['techno', 'meditation']",['exciting'],['digital drums'],f59411e211efc27fc6b6005c2a7d1b9b
"['dance', 'electronic', 'electronic drums', 'keyboard', 'male voice', 'moderate tempo', 'spiritual']","['drums', 'bass', 'guitar', 'funk', 'keyboard', 'jazz', 'violin', 'piano']",1.0,['moderate tempo'],"['dance', 'electronic']",['spiritual'],"['electronic drums', 'male voice']",539cef2f772747626cf76306aec9745c
"['digital drums', 'energetic', 'flat male vocal', 'groovy', 'harsh', 'house', 'hypnotic', 'male voice', 'techno', 'uptempo']","['energetic', 'bass', 'electronic', 'pop', 'house']",1.0,"['uptempo', 'groovy']",['techno'],"['hypnotic', 'energetic', 'harsh']","['flat male vocal', 'digital drums', 'male voice']",80340b088864d3f606088d80af295c27
"['acoustic guitar', 'calming', 'classical', 'emotional', 'flat male vocal', 'medium tempo', 'passionate', 'percussion', 'uptempo']","['drums', 'happy', 'pop']",0.5,"['uptempo', 'medium tempo']",['classical'],"['calming', 'passionate', 'emotional']","['acoustic guitar', 'percussion', 'flat male vocal']",9db40eebfd660ce0997c8de818058133
"['cinematic', 'electric guitar', 'energetic', 'female voice', 'fun', 'mid tempo', 'movie soundtrack']","['pop', 'funk', 'guitar']",1.0,['mid tempo'],"['movie soundtrack', 'cinematic']","['energetic', 'fun']","['female voice', 'electric guitar']",a785638c04d85d5f3444c2ae9314c904
"['bass', 'dance groove', 'energetic', 'metal']","['drums', 'bass', 'metal', 'funk', 'jazz']",1.5,['dance groove'],[],['energetic'],[],01172dfe959dc3212c6250f7eb08f914
"['emotional', 'folk', 'groovy', 'punchy kick', 'shimmering shakers']","['classical', 'emotional', 'pop', 'folk', 'piano']",0.5,['groovy'],[],['emotional'],"['shimmering shakers', 'punchy kick']",0c977a60813542ffd8e87801fda89281
"['classical', 'fast tempo', 'happy', 'no voices', 'piano']","['ambient', 'piano', 'happy', 'classical']",1.0,['fast tempo'],[],['happy'],"['no voices', 'piano']",3822edecc9142fd21839ade5d0b4ab33
"['bass', 'dance song', 'ethereal', 'male voice', 'percussion', 'piano', 'slow tempo']","['energetic', 'drums', 'metal', 'bass']",1.25,['slow tempo'],['dance song'],['ethereal'],"['piano', 'male voice', 'percussion']",698bf2ce05f6374c78c13e80e45107c4
"['bass', 'cinematic', 'dark', 'slow tempo', 'soothing']","['drums', 'bass', 'guitar', 'funk', 'keyboard', 'jazz', 'violin']",0.5,['slow tempo'],['cinematic'],"['dark', 'soothing']",[],5ffb1f134cff96625bfa371bc3daa9c0
"['blues', 'classical music', 'dance music', 'fast tempo', 'happy', 'hip hop', 'male voice', 'no voices', 'soothing', 'soulful']","['piano', 'happy', 'classical']",1.5,['fast tempo'],"['soulful', 'dance music', 'hip hop', 'classical music', 'blues']","['soothing', 'happy']","['male voice', 'no voices']",210c0c7dd678862a66b0fd8422a55746
"['cheerful', 'drums', 'electronic music', 'male voice', 'slow tempo', 'trumpets']","['drums', 'bass', 'guitar', 'funk', 'strings', 'jazz', 'violin', 'piano']",2.0,['slow tempo'],['electronic music'],['cheerful'],"['trumpets', 'male voice']",cab1fbbac2dc4cbf82536083bd0470b5
"['energetic', 'pop', 'punchy snare', 'rock', 'uptempo']","['violin', 'pop', 'house', 'funk']",1.5,['uptempo'],['rock'],['energetic'],['punchy snare'],15dffefdbfdf6ecd00f0d1fbbcd253b7
"['ambient', 'classical', 'eerie', 'emotional', 'medium tempo', 'no voices', 'piano']","['drums', 'jazz', 'funk', 'piano']",0.5,['medium tempo'],"['ambient', 'classical']","['emotional', 'eerie']",['no voices'],5b33fcad5e7150ffd407546a29a9cdff
"['bass', 'electric guitar', 'emotional', 'medium tempo', 'percussion', 'rock']","['drums', 'bass', 'guitar', 'funk', 'rock', 'jazz']",1.0,['medium tempo'],[],['emotional'],"['percussion', 'electric guitar']",7d047aabffaeb9604803dd2e29ccf143
"['acoustic guitar', 'calming', 'classical', 'no voices', 'uptempo']","['classical', 'emotional', 'pop', 'folk', 'piano']",2.0,['uptempo'],[],['calming'],"['acoustic guitar', 'no voices']",563e7c6ee12a72655d086affac45f0c6
"['calming', 'cinematic', 'eerie', 'emotional', 'slow tempo', 'strings']","['emotional', 'piano', 'strings', 'classical']",0.75,['slow tempo'],['cinematic'],"['emotional', 'eerie', 'calming']",[],8b2ea1b591329c0678d5562447f9a4e8
"['aggressive', 'chaotic', 'electronic', 'electronic drums', 'strings', 'uptempo']","['electronic', 'energetic', 'drums', 'rock']",1.0,['uptempo'],[],"['aggressive', 'chaotic']","['electronic drums', 'strings']",7c13cbc380cb9e360a4315ef817250b9
"['dance', 'dramatic', 'energetic', 'female vocal', 'groovy']",[],2.0,['groovy'],['dance'],"['energetic', 'dramatic']",['female vocal'],759c6b9a0e21e0c44bd7bd039503bfd7
"['acoustic guitar', 'ambient noises', 'emotional', 'fast tempo', 'keyboard accompaniment']",[],2.0,['fast tempo'],['ambient noises'],['emotional'],"['keyboard accompaniment', 'acoustic guitar']",8fc0722031891bfae2a42f3688511b82
"['dreamy', 'energetic', 'keyboard', 'medium tempo', 'r&b', 'sentimental', 'spiritual']","['drums', 'bass', 'guitar', 'funk', 'rock', 'keyboard']",1.25,['medium tempo'],['r&b'],"['spiritual', 'sentimental', 'dreamy', 'energetic']",[],579473c463fe6e5bb6da99a52d49b66f
"['calming', 'classical', 'dance song', 'emotional', 'guitar solo', 'medium to uptempo', 'no percussion', 'pop', 'pop rock']","['ambient', 'emotional', 'piano']",1.25,['medium to uptempo'],"['classical', 'dance song', 'pop', 'pop rock']","['emotional', 'calming']","['guitar solo', 'no percussion']",116988ce42d5ea947c9731438deabb25
"['bass', 'chaotic', 'energetic', 'fast tempo', 'happy mood', 'hard rock', 'rock', 'slow tempo']","['drums', 'bass', 'guitar', 'rock', 'pop', 'indie', 'happy']",2.0,"['fast tempo', 'slow tempo']",[],"['energetic', 'happy mood', 'hard rock', 'chaotic']",[],db2361e9d61a12a34df7efec16764fa9
"['drums', 'energetic', 'fast tempo', 'male singer', 'rock', 'slow tempo', 'uptempo']","['energetic', 'drums', 'pop', 'bass']",1.5,"['uptempo', 'fast tempo', 'slow tempo']",['rock'],['energetic'],['male singer'],7d995c91610602e2fa37f85ab0cf9389
"['dreamy', 'e-guitar', 'guitar', 'mellow', 'rock', 'slow tempo']","['drums', 'bass', 'guitar', 'funk', 'rock', 'pop', 'keyboard']",1.5,['slow tempo'],[],"['dreamy', 'mellow']",['e-guitar'],dc33712654a66ef37d785306df3156ed
"['bass', 'eerie', 'electronic music', 'inspiring', 'male voice', 'mysterious', 'no percussion', 'scary', 'slow tempo']",[],2.0,['slow tempo'],['electronic music'],"['eerie', 'scary', 'mysterious', 'inspiring']","['male voice', 'bass', 'no percussion']",850dc5ee7c7d159c8a37e306bc68de39
"['folk', 'male vocal', 'medium tempo', 'passionate', 'piano']","['guitar', 'happy', 'jazz', 'folk', 'piano']",0.75,['medium tempo'],[],['passionate'],['male vocal'],3885c9deb1975f785c5e97f9f003eecd
"['electronic drums', 'gospel', 'groovy', 'medium tempo', 'melancholic', 'slow tempo', 'soulful', 'strings']","['electronic', 'energetic', 'bass']",0.75,"['slow tempo', 'groovy', 'medium tempo']","['gospel', 'soulful']",['melancholic'],"['electronic drums', 'strings']",5a943b1b277b76e48c41abf1c7d84e8e
"['calm', 'classical', 'electronic music', 'folk music', 'piano', 'upbeat']","['happy', 'jazz', 'guitar', 'piano']",0.75,['upbeat'],"['folk music', 'electronic music', 'classical']",['calm'],[],d8f994773ef931b36a4529a783d3ffb6
"['dance', 'female voice', 'keyboard', 'medium tempo', 'moderate tempo', 'psychedelic']","['drums', 'bass', 'dance', 'keyboard', 'happy', 'house']",2.0,"['medium tempo', 'moderate tempo']",[],['psychedelic'],['female voice'],9bee772a4e9713669f56cda6fc01b24d
"['acoustic guitar', 'aggressive', 'chaotic', 'e-bass', 'electric guitar', 'medium tempo', 'rock', 'scary', 'techno']","['jazz', 'bass', 'funk']",2.0,['medium tempo'],"['rock', 'techno']","['aggressive', 'chaotic', 'scary']","['electric guitar', 'acoustic guitar', 'e-bass']",60c14451fc6a4b8674a415c68dc581ed
"['cinematic', 'classical music', 'no percussion', 'no voices', 'passionate', 'slow tempo']","['happy', 'pop', 'piano']",1.5,['slow tempo'],"['cinematic', 'classical music']",['passionate'],"['no voices', 'no percussion']",edaa80a2763cfa55dd48b8b7bbbd5408
"['cheerful', 'classical', 'dance song', 'emotional', 'fast tempo', 'fun', 'happy', 'no voices', 'passionate']",[],2.0,['fast tempo'],"['classical', 'dance song']","['happy', 'passionate', 'fun', 'emotional', 'cheerful']",['no voices'],7868c3bcc7d91bb47fb0d17f2c181281
"['emotional', 'medium tempo', 'metal', 'passionate female vocal', 'slow tempo']","['emotional', 'guitar', 'classical']",1.5,"['medium tempo', 'slow tempo']",['metal'],['emotional'],['passionate female vocal'],c0921cce6f5b7b9aaef49f63b7b0f7f6
"['bass', 'fast tempo', 'hard rock', 'heavy metal', 'metal', 'rock']","['drums', 'bass', 'guitar', 'funk', 'rock', 'pop']",1.5,['fast tempo'],['metal'],"['hard rock', 'heavy metal']",[],2c0ee61e2d7624d01376e01e1a03583f
